listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149387506,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mayorazgo-ate-vitarte-4-dormitorios-149387506?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=1,2026-05-18,ate,urbania,759000,220000.0,,194,4.0,3.0,1.0,Edificio Sabadell con Badajoz,Ate Vitarte,Mayorazgo,10,Departamento · 174m² · 4 Dormitorios · 1 Estacionamiento
148003136,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-salamanca-de-monterrico-ate-vitarte-3-dormitorios-148003136?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=2,2026-05-18,ate,urbania,725000,,,124,3.0,3.0,,Los Olmos Salamanca de Monterrico,Ate Vitarte,Salamanca De Monterrico,10,Departamento · 84m² · 3 Dormitorios
149149198,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-javier-prado-et6-ate-vitarte-3-dormitorios-149149198?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3,2026-05-18,ate,urbania,404168,120000.0,,126,3.0,2.0,,Av. Marginal al 100,Ate Vitarte,Javier Prado Et.6,10,Departamento · 126m² · 3 Dormitorios
148288992,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-salamanca-de-monterrico-ate-vitarte-3-dormitorios-148288992?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4,2026-05-18,ate,urbania,463500,133000.0,100.0,107,3.0,2.0,,Salamanca de Monterrico,Ate Vitarte,Salamanca De Monterrico,1,Departamento · 107m² · 3 Dormitorios
149365027,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-salamanca-de-monterrico-ate-vitarte-3-dormitorios-149365027?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=5,2026-05-18,ate,urbania,720000,210000.0,120.0,136,3.0,3.0,1.0,Salamanca de Monterrico,Ate Vitarte,Salamanca De Monterrico,1,Departamento · 115m² · 3 Dormitorios · 1 Estacionamiento
145779160,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mayorazgo-ate-vitarte-3-dormitorios-145779160?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6,2026-05-18,ate,urbania,482330,139000.0,,99,3.0,2.0,,C. Marbella  al 200,Ate Vitarte,Mayorazgo,1,Departamento · 99m² · 3 Dormitorios
147856897,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-los-portales-de-javier-prado-ate-vitarte-4-dormitorios-147856897?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7,2026-05-18,ate,urbania,450000,120000.0,,126,4.0,3.0,1.0,Prolongacion Javier Prado Este 9132,Ate Vitarte,Los Portales De Javier Prado,1,Departamento · 126ha · 4 Dormitorios · 1 Estacionamiento
147904279,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mayorazgo-ate-vitarte-3-dormitorios-147904279?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-05-18,ate,urbania,530100,155000.0,100.0,143,3.0,3.0,,Lerida 211 al 200,Ate Vitarte,Mayorazgo,1,Departamento · 143m² · 3 Dormitorios
147856000,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-ate-vitarte-lima-3-dormitorios-147856000?n_src=Listado&n_pg=1&n_pos=9,2026-05-18,ate,urbania,684560,199000.0,,372,3.0,2.0,2.0,Jr. Juan Jose Crespo al 100,Lima,Ate Vitarte,1,Departamento · 247m² · 3 Dormitorios · 2 Estacionamientos
149037885,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-ate-vitarte-lima-5-a-mas-dormitorios-149037885?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10,2026-05-18,ate,urbania,705600,210000.0,,270,5.0,4.0,,Av. Prol. Javier Prado Este 9051 al 9000,Lima,Ate Vitarte,1,Departamento · 270m² · 5 Dormitorios
