listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
146483466,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-2-dormitorios-146483466?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=9,2026-05-18,barranco,urbania,450000.0,135000.0,240.0,75,2.0,2.0,1.0,Jr. Progreso,Lima,Barranco,1,Departamento · 51m² · 2 Dormitorios · 1 Estacionamiento
147944789,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-2-dormitorios-147944789?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=10,2026-05-18,barranco,urbania,861211.0,255000.0,430.0,90,2.0,2.0,2.0,las Mimosas al 100,Lima,Barranco,1,Departamento · 90m² · 2 Dormitorios · 2 Estacionamientos
149180112,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-3-dormitorios-149180112?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=11,2026-05-18,barranco,urbania,3852500.0,1150000.0,1700.0,312,3.0,3.0,3.0,Jr.Batalla De Junin,Lima,Barranco,1,Departamento · 312m² · 3 Dormitorios · 3 Estacionamientos
145526893,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-4-dormitorios-145526893?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=12,2026-05-18,barranco,urbania,977300.0,290000.0,,162,4.0,4.0,2.0,Carlos Arrieta 253,Lima,Barranco,1,Departamento · 110m² · 4 Dormitorios · 2 Estacionamientos
147379965,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-147379965?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,2026-05-18,barranco,urbania,495000.0,140540.0,,43,1.0,1.0,1.0,Av. el Sol Oeste 145,Lima,Barranco,1,Departamento · 43m² · 1 Dormitorio · 1 Estacionamiento
149522767,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-3-dormitorios-149522767?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-05-18,barranco,urbania,4250000.0,1250000.0,2500.0,503,3.0,3.0,2.0,Jirón 28 de Julio,Lima,Barranco,1,Departamento · 423m² · 3 Dormitorios · 2 Estacionamientos
145087075,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-145087075?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=15,2026-05-18,barranco,urbania,474375.0,118000.0,180.0,42,1.0,1.0,,AV. ALMIRANTE GRAU,Lima,Barranco,1,Departamento · 42m² · 1 Dormitorio
149647664,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-3-dormitorios-149647664?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=16,2026-05-18,barranco,urbania,663000.0,195000.0,400.0,103,3.0,3.0,1.0,jr. Tumbes al 300,Lima,Barranco,1,Departamento · 103m² · 3 Dormitorios · 1 Estacionamiento
148802302,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-148802302?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,2026-05-18,barranco,urbania,425000.0,124800.0,,45,1.0,1.0,,JR. Enrique Barrón al 300 Cerca a la Av El Sol Barranco,Lima,Barranco,1,Departamento · 45m² · 1 Dormitorio
148436303,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-tejada-alta-barranco-2-dormitorios-148436303?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=18,2026-05-18,barranco,urbania,718000.0,208000.0,450.0,92,2.0,2.0,1.0,Avenida Reducto 851,Barranco,Tejada Alta,1,Departamento · 92m² · 2 Dormitorios · 1 Estacionamiento
