listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149450673,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-2-dormitorios-149450673?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=6,2026-05-18,brena,urbania,325000,92430.0,250.0,61,2.0,2.0,1.0,Av. Brasil 836,Lima,Breña,1,Departamento · 61m² · 2 Dormitorios · 1 Estacionamiento
149066347,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-3-dormitorios-149066347?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7,2026-05-18,brena,urbania,428750,,,76,3.0,2.0,,Jiron Pedro Ruiz Gallo,Lima,Breña,1,Departamento · 76m² · 3 Dormitorios
149703675,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-149703675?n_src=Listado&n_pg=1&n_pos=8,2026-05-18,brena,urbania,510980,145000.0,,200,,,,"Jiron Independencia, Cdra 4 Breña",Lima,Breña,1,Departamento · 106m²
147849476,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-2-dormitorios-147849476?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=9,2026-05-18,brena,urbania,370000,100000.0,,55,2.0,1.0,,Breña,Lima,Breña,1,Departamento · 55m² · 2 Dormitorios
149567488,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-3-dormitorios-149567488?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10,2026-05-18,brena,urbania,374000,110000.0,,75,3.0,2.0,,AGUARICO,Lima,Breña,1,Departamento · 75m² · 3 Dormitorios
149271196,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-3-dormitorios-149271196?n_src=Listado&n_pg=1&n_pos=11,2026-05-18,brena,urbania,653250,195000.0,,116,3.0,3.0,1.0,Jr. Alonso de Molina al 1300,Lima,Breña,1,Departamento · 116m² · 3 Dormitorios · 1 Estacionamiento
149310376,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-3-dormitorios-149310376?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=12,2026-05-18,brena,urbania,600000,172413.0,,105,3.0,2.0,,Jr. General Varela  al 1900,Lima,Breña,1,Departamento · 77m² · 3 Dormitorios
148323497,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-3-dormitorios-148323497?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,2026-05-18,brena,urbania,433750,125000.0,300.0,69,3.0,2.0,1.0,Avenida Brasil,Lima,Breña,1,Departamento · 69m² · 3 Dormitorios · 1 Estacionamiento
149670869,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-3-dormitorios-149670869?n_src=Listado&n_pg=1&n_pos=14,2026-05-18,brena,urbania,242200,68000.0,140.0,73,3.0,1.0,,Jr. Jorge Chávez 1549,Lima,Breña,1,Departamento · 73m² · 3 Dormitorios
149803570,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-brena-lima-1-dormitorio-149803570?n_src=Listado&n_pg=1&n_pos=15,2026-05-18,brena,urbania,199000,59000.0,,60,1.0,1.0,,Av Venezuela Nezuela  8XX Breña,Lima,Breña,1,Departamento · 60m² · 1 Dormitorio
