listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
148936745,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-148936745?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=12,2026-05-18,chorrillos,urbania,560000,163000.0,200.0,218,3.0,5.0,,Calle Donald Douglas 100,Lima,Chorrillos,1,Departamento · 218m² · 3 Dormitorios
149716435,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-2-dormitorios-149716435?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=13,2026-05-18,chorrillos,urbania,722000,209000.0,400.0,135,2.0,2.0,1.0,Av. Chorrillos  al 600,Lima,Chorrillos,1,Departamento · 135m² · 2 Dormitorios · 1 Estacionamiento
148786941,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-2-dormitorios-148786941?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-05-18,chorrillos,urbania,275000,79941.0,,67,2.0,1.0,1.0,JR Juno al 100,Lima,Chorrillos,1,Departamento · 67m² · 2 Dormitorios · 1 Estacionamiento
149750930,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-149750930?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-05-18,chorrillos,urbania,343980,98000.0,300.0,86,3.0,2.0,1.0,Jr. Andrómeda O,Lima,Chorrillos,1,Departamento · 86m² · 3 Dormitorios · 1 Estacionamiento
148251933,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-2-dormitorios-148251933?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=16,2026-05-18,chorrillos,urbania,289000,,180.0,65,2.0,2.0,,LAS GAVIOTAS,Lima,Chorrillos,1,Departamento · 65m² · 2 Dormitorios
149620601,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-2-dormitorios-149620601?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=17,2026-05-18,chorrillos,urbania,387000,113000.0,,58,2.0,2.0,,Av. Las Gaviotas al 400,Lima,Chorrillos,1,Departamento · 58m² · 2 Dormitorios
149506211,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-149506211?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=18,2026-05-18,chorrillos,urbania,367500,105000.0,120.0,92,3.0,2.0,,Urbanización Rosario de Villa  al 700,Lima,Chorrillos,1,Departamento · 92m² · 3 Dormitorios
149726762,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-los-cedros-de-villa-chorrillos-3-dormitorios-149726762?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=19,2026-05-18,chorrillos,urbania,370600,109000.0,99.0,76,3.0,2.0,1.0,Calle Tobago,Chorrillos,Los Cedros De Villa,1,Departamento · 76m² · 3 Dormitorios · 1 Estacionamiento
147179347,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-chorrillos-3-dormitorios-147179347?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=20,2026-05-18,chorrillos,urbania,2654225,700000.0,,390,3.0,3.0,3.0,Malecón Grau,Chorrillos,Chorrillos,1,Departamento · 292m² · 3 Dormitorios · 3 Estacionamientos
149178757,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-149178757?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=21,2026-05-18,chorrillos,urbania,375000,110000.0,250.0,99,3.0,3.0,,Av. Los Faisanes 335,Lima,Chorrillos,1,Departamento · 62m² · 3 Dormitorios
