listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
148343005,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-4-dormitorios-148343005?n_src=Listado&n_pg=1&n_pos=1,2026-05-18,comas,urbania,217415,64900.0,,221,4.0,3.0,,Jr. Tarma  - Comas,Lima,Comas,10,Departamento · 221m² · 4 Dormitorios
146741092,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-2-dormitorios-146741092?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=2,2026-05-18,comas,urbania,174200,52000.0,,73,2.0,2.0,,jr Bosques de Huayllay Comas,Lima,Comas,10,Departamento · 73m² · 2 Dormitorios
149547998,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacra-cerro-comas-2-dormitorios-149547998?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=3,2026-05-18,comas,urbania,202300,59500.0,120.0,50,2.0,1.0,1.0,"Condominio Los Girasoles, Tercera Etapa",Comas,Chacra Cerro,10,Departamento · 50m² · 2 Dormitorios · 1 Estacionamiento
148984283,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-4-dormitorios-148984283?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4,2026-05-18,comas,urbania,287000,82000.0,,101,4.0,2.0,,"San Jorge 130, Comas",Lima,Comas,1,Departamento · 101m² · 4 Dormitorios
149801945,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-149801945?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=5,2026-05-18,comas,urbania,210000,61900.0,80.0,56,3.0,1.0,,Condominio Torres las Praderas Mz E - Puerta E3,Lima,Comas,1,Departamento · 56m² · 3 Dormitorios
149040079,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-retablo-comas-149040079?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=6,2026-05-18,comas,urbania,295000,,175.0,86,,2.0,,"Calle 9, Comas 15117",Comas,El Retablo,1,Departamento · 86m²
147846630,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-147846630?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7,2026-05-18,comas,urbania,227500,65000.0,,106,3.0,1.0,,Ca. Mama Ocllo,Lima,Comas,1,Departamento · 106m² · 3 Dormitorios
149115427,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-149115427?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-05-18,comas,urbania,197650,53000.0,,101,3.0,2.0,,Jr Cusco,Lima,Comas,1,Departamento · 101m² · 3 Dormitorios
148633271,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-2-dormitorios-148633271?n_src=Listado&n_pg=1&n_pos=9,2026-05-18,comas,urbania,107184,30800.0,,40,2.0,1.0,,"Riva Aguero 257, Comas 15312, Perú",Lima,Comas,1,Departamento · 40m² · 2 Dormitorios
147780004,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-luzmila-comas-3-dormitorios-147780004?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=10,2026-05-18,comas,urbania,235000,68000.0,110.0,83,3.0,2.0,1.0,Torres del campo,Comas,Santa Luzmila,1,Departamento · 71m² · 3 Dormitorios · 1 Estacionamiento
