listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149034028,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149034028?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-05-18,jesus-maria,urbania,589900.0,170000.0,350.0,100,2.0,2.0,,Jirón Huiracocha 2359,Lima,Jesús María,1,Departamento · 99m² · 2 Dormitorios
149497430,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149497430?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=9,2026-05-18,jesus-maria,urbania,589900.0,170000.0,350.0,99,2.0,2.0,,Jr. Huiracocha 2300,Lima,Jesús María,1,Departamento · 99m² · 2 Dormitorios
149640609,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149640609?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=10,2026-05-18,jesus-maria,urbania,576000.0,162711.0,,72,3.0,2.0,,Av Cuba  500 a 1 Cdra de Av. Salaverry,Lima,Jesús María,1,Departamento · 72m² · 3 Dormitorios
148728320,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-148728320?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=11,2026-05-18,jesus-maria,urbania,,,,58,2.0,2.0,,"Av. Brasil 2347, Lima 15084, Perú",Lima,Jesús María,1,Departamento · 58m² · 2 Dormitorios
149767147,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149767147?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=12,2026-05-18,jesus-maria,urbania,540000.0,158000.0,300.0,82,3.0,2.0,1.0,Avenida Talara,Lima,Jesús María,1,Departamento · 82m² · 3 Dormitorios · 1 Estacionamiento
148571594,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-148571594?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=13,2026-05-18,jesus-maria,urbania,1713000.0,495000.0,,206,3.0,2.0,2.0,Avenida Dos de Mayo al 1400,Lima,Jesús María,1,Departamento · 160m² · 3 Dormitorios · 2 Estacionamientos
149651547,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-1-dormitorio-149651547?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=14,2026-05-18,jesus-maria,urbania,431250.0,125000.0,360.0,65,1.0,1.0,1.0,Av. Olavegoya 1855,Lima,Jesús María,1,Departamento · 65m² · 1 Dormitorio · 1 Estacionamiento
149032003,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-4-dormitorios-149032003?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-05-18,jesus-maria,urbania,606263.0,179900.0,,127,4.0,2.0,,Avenida Francisco Javier Mariategui  5,Lima,Jesús María,1,Departamento · 127m² · 4 Dormitorios
149642075,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149642075?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=16,2026-05-18,jesus-maria,urbania,522000.0,153500.0,228.0,75,3.0,2.0,,Jr. Huiracocha 1735 Jesus Maria,Lima,Jesús María,1,Departamento · 75m² · 3 Dormitorios
149662390,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149662390?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=17,2026-05-18,jesus-maria,urbania,410000.0,119000.0,,56,2.0,2.0,1.0,Av 28 de Julio  al 300,Lima,Jesús María,1,Departamento · 56m² · 2 Dormitorios · 1 Estacionamiento
148198588,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-148198588?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=18,2026-05-18,jesus-maria,urbania,580000.0,,,71,3.0,2.0,,jesus maria,Lima,Jesús María,1,Departamento · 71m² · 3 Dormitorios
149665580,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149665580?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,2026-05-18,jesus-maria,urbania,650000.0,185714.0,,102,3.0,2.0,1.0,Parque Pedro la Rosa 119,Lima,Jesús María,1,Departamento · 102m² · 3 Dormitorios · 1 Estacionamiento
147799751,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-oyague-jesus-maria-2-dormitorios-147799751?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=20,2026-05-18,jesus-maria,urbania,630000.0,,,103,2.0,2.0,,Jr. Huiracocha,Jesús María,Oyague,1,Departamento · 103ha · 2 Dormitorios
64272467,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-64272467?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=21,2026-05-18,jesus-maria,urbania,530000.0,,269.0,60,2.0,2.0,1.0,AVENIDA SAN FELIPE,Lima,Jesús María,1,Departamento · 60m² · 2 Dormitorios · 1 Estacionamiento
149853441,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149853441?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,2026-05-18,jesus-maria,urbania,450000.0,131250.0,,58,2.0,2.0,,Av. Cuba cuadra 12,Lima,Jesús María,1,Departamento · 58m² · 2 Dormitorios
149251169,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-1-dormitorio-149251169?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=23,2026-05-18,jesus-maria,urbania,307000.0,87000.0,225.0,40,1.0,1.0,,Gregorio Escobedo,Lima,Jesús María,1,Departamento · 40m² · 1 Dormitorio
149603869,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149603869?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=24,2026-05-18,jesus-maria,urbania,365000.0,105900.0,260.0,57,2.0,1.0,,Av. San  Felipe 800,Lima,Jesús María,1,Departamento · 57m² · 2 Dormitorios
149341692,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149341692?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=25,2026-05-18,jesus-maria,urbania,730000.0,215000.0,600.0,108,3.0,3.0,1.0,Avenida Olavegoya 1918,Lima,Jesús María,1,Departamento · 108m² · 3 Dormitorios · 1 Estacionamiento
149904498,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149904498?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=26,2026-05-18,jesus-maria,urbania,418800.0,123000.0,200.0,60,2.0,2.0,,"AV. Republica DE Chile 400, Dpto 1408",Lima,Jesús María,1,Departamento · 60m² · 2 Dormitorios
145683424,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-145683424?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=27,2026-05-18,jesus-maria,urbania,647500.0,175000.0,,79,3.0,2.0,1.0,Av. Gregorio Escobedo,Lima,Jesús María,1,Departamento · 79m² · 3 Dormitorios · 1 Estacionamiento
149682838,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149682838?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=28,2026-05-18,jesus-maria,urbania,889665.0,261666.0,495.0,150,2.0,2.0,2.0,Jr. Daniel Olaechea 175 Piso 8,Lima,Jesús María,1,Departamento · 150m² · 2 Dormitorios · 2 Estacionamientos
149541815,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-4-dormitorios-149541815?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=29,2026-05-18,jesus-maria,urbania,1751000.0,515000.0,,300,4.0,7.0,1.0,Av. San Felipe 1079,Lima,Jesús María,1,Departamento · 300m² · 4 Dormitorios · 1 Estacionamiento
148909728,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-148909728?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=30,2026-05-18,jesus-maria,urbania,653250.0,195000.0,,142,2.0,2.0,,Jirón Caracas al 2400,Lima,Jesús María,1,Departamento · 130m² · 2 Dormitorios
149781190,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149781190?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=1,2026-05-18,jesus-maria,urbania,520000.0,149000.0,250.0,75,3.0,2.0,,"Jr. Huiracocha 1735 Cerca A AV SAN Felipe, Salaverry, Brasil",Lima,Jesús María,10,Departamento · 75m² · 3 Dormitorios
149411676,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-4-dormitorios-149411676?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=2,2026-05-18,jesus-maria,urbania,1055000.0,305797.0,,162,4.0,3.0,1.0,Calle Santo Domingo Cuadra 2,Lima,Jesús María,10,Departamento · 162m² · 4 Dormitorios · 1 Estacionamiento
149097691,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-1-dormitorio-149097691?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=3,2026-05-18,jesus-maria,urbania,350000.0,102000.0,250.0,56,1.0,2.0,,Av. Cuba cuadra 11 jesus maria,Lima,Jesús María,10,Departamento · 56m² · 1 Dormitorio
149728102,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149728102?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=4,2026-05-18,jesus-maria,urbania,561600.0,160000.0,250.0,87,3.0,2.0,1.0,Av. Brasil 1387 al 1300,Lima,Jesús María,1,Departamento · 87m² · 3 Dormitorios · 1 Estacionamiento
149242013,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-residencial-san-felipe-jesus-maria-3-dormitorios-149242013?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=5,2026-05-18,jesus-maria,urbania,632880.0,180000.0,100.0,137,3.0,2.0,,Residencial San Felipe,Jesús María,Residencial San Felipe,1,Departamento · 137m² · 3 Dormitorios
149697457,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149697457?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=6,2026-05-18,jesus-maria,urbania,507500.0,145000.0,290.0,79,2.0,2.0,,"Av. Salaverry Limite con San Isidro.  2 Dorm. 2.5 Baños, Balcon Grande. NO Cochera",Lima,Jesús María,1,Departamento · 78m² · 2 Dormitorios
147791166,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-portada-de-jesus-maria-jesus-maria-3-dormitorios-147791166?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=7,2026-05-18,jesus-maria,urbania,642600.0,189000.0,,101,3.0,3.0,1.0,Av. Gral. Salaverry 579 al 500,Jesús María,Portada De Jesus Maria,1,Departamento · 101m² · 3 Dormitorios · 1 Estacionamiento
148787982,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-148787982?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=8,2026-05-18,jesus-maria,urbania,520000.0,,,73,3.0,2.0,,Av Gral Garzón al 2000,Lima,Jesús María,1,Departamento · 73m² · 3 Dormitorios
149496506,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149496506?n_src=Listado&n_pills=Gimnasio&n_pg=2&n_pos=9,2026-05-18,jesus-maria,urbania,515000.0,151500.0,,56,2.0,2.0,,Av. Salaverry 1806 Jesús María,Lima,Jesús María,1,Departamento · 56m² · 2 Dormitorios
149023807,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149023807?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=10,2026-05-18,jesus-maria,urbania,494000.0,133429.0,,51,2.0,2.0,1.0,Av. San Felipe  al 400 Vista a Parque,Lima,Jesús María,1,Departamento · 51m² · 2 Dormitorios · 1 Estacionamiento
147954891,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-147954891?n_src=Listado&n_pills=Piscina&n_pg=2&n_pos=11,2026-05-18,jesus-maria,urbania,425000.0,119714.0,,58,2.0,2.0,,Av. Brasil 2363,Lima,Jesús María,1,Departamento · 58m² · 2 Dormitorios
148369536,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-148369536?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=2&n_pos=12,2026-05-18,jesus-maria,urbania,1135000.0,,,162,3.0,3.0,,AVENIDA DE LA POLICIA,Lima,Jesús María,1,Departamento · 162m² · 3 Dormitorios
149510012,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149510012?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=13,2026-05-18,jesus-maria,urbania,681751.0,202300.0,400.0,117,3.0,3.0,,Jr. Pachacutec  al 1484,Lima,Jesús María,1,Departamento · 117m² · 3 Dormitorios
61467274,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-61467274?n_src=Listado&n_pills=Gimnasio&n_pg=2&n_pos=14,2026-05-18,jesus-maria,urbania,515000.0,,250.0,57,2.0,2.0,1.0,AVENIDA SAN FELIPE,Lima,Jesús María,1,Departamento · 57m² · 2 Dormitorios · 1 Estacionamiento
148735096,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-1-dormitorio-148735096?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=2&n_pos=15,2026-05-18,jesus-maria,urbania,330000.0,,,42,1.0,1.0,,Av Gral Garzón al 2000,Lima,Jesús María,1,Departamento · 42m² · 1 Dormitorio
149602461,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149602461?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=16,2026-05-18,jesus-maria,urbania,517000.0,152960.0,,85,3.0,2.0,,Av. Brasil al 600,Lima,Jesús María,1,Departamento · 85m² · 3 Dormitorios
148813225,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-148813225?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=17,2026-05-18,jesus-maria,urbania,326610.0,95500.0,,70,3.0,2.0,,Av. Brasil  al 800,Lima,Jesús María,1,Departamento · 70m² · 3 Dormitorios
149687491,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149687491?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=18,2026-05-18,jesus-maria,urbania,819000.0,234000.0,280.0,168,3.0,2.0,1.0,Avenida General Felipe Salaverry al 500,Lima,Jesús María,1,Departamento · 168m² · 3 Dormitorios · 1 Estacionamiento
147180176,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-147180176?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=19,2026-05-18,jesus-maria,urbania,526600.0,153000.0,150.0,70,3.0,2.0,1.0,Av. Cuba 300,Lima,Jesús María,1,Departamento · 70m² · 3 Dormitorios · 1 Estacionamiento
145847811,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-145847811?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=20,2026-05-18,jesus-maria,urbania,446550.0,130000.0,,59,2.0,2.0,,Jr Pachacutec,Lima,Jesús María,1,Departamento · 59m² · 2 Dormitorios
149907619,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149907619?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=21,2026-05-18,jesus-maria,urbania,499000.0,,,75,3.0,2.0,1.0,Av. Brasil,Lima,Jesús María,1,Departamento · 75m² · 3 Dormitorios · 1 Estacionamiento
149746015,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149746015?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=22,2026-05-18,jesus-maria,urbania,336600.0,99000.0,150.0,56,2.0,1.0,,Av. Brasil,Lima,Jesús María,1,Departamento · 56m² · 2 Dormitorios
148850681,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-148850681?n_src=Listado&n_pills=Gimnasio&n_pg=2&n_pos=23,2026-05-18,jesus-maria,urbania,450000.0,134000.0,260.0,60,2.0,2.0,,Av. San Felipe 1190,Lima,Jesús María,1,Departamento · 60m² · 2 Dormitorios
149543975,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-149543975?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=24,2026-05-18,jesus-maria,urbania,550400.0,160000.0,250.0,84,2.0,2.0,1.0,Av Gral Garzón 742,Lima,Jesús María,1,Departamento · 84m² · 2 Dormitorios · 1 Estacionamiento
148092841,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-148092841?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=2&n_pos=25,2026-05-18,jesus-maria,urbania,670000.0,198500.0,,133,,2.0,1.0,Av. Husares de Junin cdra,Lima,Jesús María,1,Departamento · 133m² · 1 Estacionamiento
149811870,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149811870?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=26,2026-05-18,jesus-maria,urbania,566696.0,165000.0,240.0,96,3.0,3.0,1.0,Jirón Cahuide,Lima,Jesús María,1,Departamento · 96m² · 3 Dormitorios · 1 Estacionamiento
143350798,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-1-dormitorio-143350798?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=27,2026-05-18,jesus-maria,urbania,350000.0,100000.0,180.0,40,1.0,1.0,,Av. República de Chile,Lima,Jesús María,1,Departamento · 40m² · 1 Dormitorio
149241869,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-149241869?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=28,2026-05-18,jesus-maria,urbania,595000.0,175000.0,150.0,125,3.0,1.0,,Av. República de Chile 500,Lima,Jesús María,1,Departamento · 125m² · 3 Dormitorios
148712304,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-residencial-san-felipe-jesus-maria-4-dormitorios-148712304?n_src=Listado&n_pills=Parrilla&n_pg=2&n_pos=29,2026-05-18,jesus-maria,urbania,1145000.0,,550.0,162,4.0,4.0,1.0,Av. Gregorio Escobedo,Jesús María,Residencial San Felipe,1,Departamento · 127m² · 4 Dormitorios · 1 Estacionamiento
146345629,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-beatriz-jesus-maria-3-dormitorios-146345629?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=30,2026-05-18,jesus-maria,urbania,480000.0,139000.0,250.0,65,3.0,2.0,1.0,Arenales 9,Jesús María,Santa Beatriz,1,Departamento · 65m² · 3 Dormitorios · 1 Estacionamiento
