listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
145321962,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-3-dormitorios-145321962?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=1,2026-05-18,la-molina,urbania,672000.0,190000.0,300.0,126.0,3.0,3.0,1.0,Jirón Centenario 150,Lima,La Molina,10,Departamento · 126m² · 3 Dormitorios · 1 Estacionamiento
149490134,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-1-dormitorio-149490134?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=2,2026-05-18,la-molina,urbania,599650.0,179000.0,,92.0,1.0,2.0,1.0,LOS Mecanicos  100,Lima,La Molina,10,Departamento · 92m² · 1 Dormitorio · 1 Estacionamiento
149791091,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-3-dormitorios-149791091?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3,2026-05-18,la-molina,urbania,595000.0,175000.0,,205.0,3.0,2.0,1.0,Jirón Paseo de los Condes  al 100,Lima,La Molina,10,Departamento · 162m² · 3 Dormitorios · 1 Estacionamiento
148454205,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-sol-de-la-molina-et1-la-molina-4-dormitorios-148454205?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4,2026-05-18,la-molina,urbania,907200.0,270000.0,500.0,289.0,4.0,4.0,2.0,Av: La Molina al 3600,La Molina,El Sol De La Molina Et.1,1,Departamento · 196m² · 4 Dormitorios · 2 Estacionamientos
148008656,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-portada-del-sol-la-molina-3-dormitorios-148008656?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=5,2026-05-18,la-molina,urbania,482000.0,144000.0,,125.0,3.0,2.0,,Amplio Espacio y 20m2 Extras- 2 Estacionamientos - 4 Habitaciones. 2.5 Baños. sin Gastos de Mantenimiento,La Molina,Portada Del Sol,1,Departamento · 125m² · 3 Dormitorios
147866542,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-sol-de-la-molina-et3-la-molina-3-dormitorios-147866542?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=6,2026-05-18,la-molina,urbania,990905.0,295000.0,,278.0,3.0,3.0,2.0,Samoa al 200,La Molina,El Sol De La Molina Et.3,1,Departamento · 143m² · 3 Dormitorios · 2 Estacionamientos
146741304,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-4-dormitorios-146741304?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7,2026-05-18,la-molina,urbania,2715000.0,750000.0,1760.0,400.0,4.0,3.0,2.0,MANUEL PRADO UGARTECHE,Lima,La Molina,1,Departamento · 380m² · 4 Dormitorios · 2 Estacionamientos
149484106,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-2-dormitorios-149484106?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-05-18,la-molina,urbania,543000.0,155000.0,,139.0,2.0,3.0,1.0,Av. Los Fresnos 804,Lima,La Molina,1,Departamento · 104m² · 2 Dormitorios · 1 Estacionamiento
149245916,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-3-dormitorios-149245916?n_src=Listado&n_pg=1&n_pos=9,2026-05-18,la-molina,urbania,406680.0,120000.0,50.0,115.0,3.0,2.0,,Jr. Junín al 100,Lima,La Molina,1,Departamento · 115m² · 3 Dormitorios
147209460,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-remanso-la-molina-3-dormitorios-147209460?n_src=Listado&n_pills=Frente+a+parque&n_pg=1&n_pos=10,2026-05-18,la-molina,urbania,909900.0,270000.0,,231.0,3.0,2.0,1.0,C. Los Ishpingos 180,La Molina,El Remanso,1,Departamento · 185m² · 3 Dormitorios · 1 Estacionamiento
