listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
148657503,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-balconcillo-la-victoria-5-a-mas-dormitorios-148657503?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9,2026-05-18,la-victoria,urbania,437760,128000.0,,102,5.0,2.0,,Los Rubíes al 420,La Victoria,Balconcillo,1,Departamento · 102m² · 5 Dormitorios
149104384,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-2-dormitorios-149104384?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=10,2026-05-18,la-victoria,urbania,567000,162000.0,,64,2.0,2.0,,Av. Javier Prado Este 1501,Lima,La Victoria,1,Departamento · 64m² · 2 Dormitorios
149712877,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-catalina-la-victoria-1-dormitorio-149712877?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=11,2026-05-18,la-victoria,urbania,299000,86000.0,,43,1.0,1.0,,Av. Javier Prado Este 1501 Santa Catalina al 1500,La Victoria,Santa Catalina,1,Departamento · 43m² · 1 Dormitorio
149237031,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-2-dormitorios-149237031?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=12,2026-05-18,la-victoria,urbania,419505,120202.0,,55,2.0,2.0,1.0,Av Javier Prado Este  al 1000,Lima,La Victoria,1,Departamento · 55m² · 2 Dormitorios · 1 Estacionamiento
148287702,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-catalina-la-victoria-2-dormitorios-148287702?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,2026-05-18,la-victoria,urbania,470000,135000.0,350.0,62,2.0,2.0,,Av. Paseo de la República,La Victoria,Santa Catalina,1,Departamento · 62m² · 2 Dormitorios
145474977,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-pablo-la-victoria-1-dormitorio-145474977?n_src=Listado&n_pg=1&n_pos=14,2026-05-18,la-victoria,urbania,188000,,,49,1.0,1.0,,Jr. Evaristo San Cristobal 1751 Urb San Pablo Interior N°308 Piso3,La Victoria,San Pablo,1,Departamento · 49m² · 1 Dormitorio
149290916,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-catalina-la-victoria-2-dormitorios-149290916?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=15,2026-05-18,la-victoria,urbania,414120,119000.0,70.0,67,2.0,1.0,,Nicolás Arriola Cuadra 2,La Victoria,Santa Catalina,1,Departamento · 67ha · 2 Dormitorios
147788002,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-1-dormitorio-147788002?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=16,2026-05-18,la-victoria,urbania,420000,120000.0,,67,1.0,1.0,,Humbolt 1458 La Victoria,Lima,La Victoria,1,Departamento · 67ha · 1 Dormitorio
148179290,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-3-dormitorios-148179290?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,2026-05-18,la-victoria,urbania,289000,85000.0,,85,3.0,1.0,,Jr. Manuel Cisneros 11xx,Lima,La Victoria,1,Departamento · 85m² · 3 Dormitorios
147856812,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-3-dormitorios-147856812?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=18,2026-05-18,la-victoria,urbania,610000,,210.0,75,3.0,2.0,1.0,Av. Paseo de la Republica 2099,Lima,La Victoria,1,Departamento · 75ha · 3 Dormitorios · 1 Estacionamiento
