listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149481767,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149481767?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=12,2026-05-18,magdalena-del-mar,urbania,613970,179000.0,350.0,100,3,2.0,1.0,Av. Antonio Miró Quesada,Lima,Magdalena,1,Departamento · 100m² · 3 Dormitorios · 1 Estacionamiento
149695843,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-149695843?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,2026-05-18,magdalena-del-mar,urbania,566150,169000.0,300.0,78,2,2.0,1.0,Jr. Sáenz Peña,Lima,Magdalena,1,Departamento · 78m² · 2 Dormitorios · 1 Estacionamiento
148603258,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-148603258?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-05-18,magdalena-del-mar,urbania,1379148,395000.0,500.0,163,3,3.0,2.0,Av. Juan de Aliaga 277,Lima,Magdalena,1,Departamento · 213m² · 3 Dormitorios · 2 Estacionamientos
149664198,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149664198?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=15,2026-05-18,magdalena-del-mar,urbania,399500,117000.0,200.0,79,3,2.0,,Jr. Amazonas 521,Lima,Magdalena,1,Departamento · 79m² · 3 Dormitorios
148028479,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-148028479?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=16,2026-05-18,magdalena-del-mar,urbania,600730,175140.0,,64,2,2.0,1.0,Av. Malecón Magdalena,Lima,Magdalena,1,Departamento · 64ha · 2 Dormitorios · 1 Estacionamiento
149797647,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-felipe-magdalena-3-dormitorios-149797647?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,2026-05-18,magdalena-del-mar,urbania,680000,194285.0,390.0,92,3,2.0,2.0,Jirón María Parado DE Bellido  1,Magdalena,San Felipe,1,Departamento · 92m² · 3 Dormitorios · 2 Estacionamientos
149735029,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-149735029?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,2026-05-18,magdalena-del-mar,urbania,574600,169000.0,220.0,78,2,2.0,1.0,Av. Alberto del Campo 414 Magdalena,Lima,Magdalena,1,Departamento · 78m² · 2 Dormitorios · 1 Estacionamiento
148917153,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-148917153?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=19,2026-05-18,magdalena-del-mar,urbania,774450,225000.0,300.0,81,3,2.0,1.0,Calle Francisco Graña 610,Lima,Magdalena,1,Departamento · 81m² · 3 Dormitorios · 1 Estacionamiento
149716434,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149716434?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=20,2026-05-18,magdalena-del-mar,urbania,639000,189000.0,350.0,95,3,3.0,1.0,Calle Baca Flor 146,Lima,Magdalena,1,Departamento · 95m² · 3 Dormitorios · 1 Estacionamiento
149099774,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149099774?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=21,2026-05-18,magdalena-del-mar,urbania,1105500,330000.0,375.0,177,3,3.0,2.0,Malecón Bernales,Lima,Magdalena,1,Departamento · 137m² · 3 Dormitorios · 2 Estacionamientos
149634948,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149634948?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=22,2026-05-18,magdalena-del-mar,urbania,645000,,370.0,80,3,2.0,1.0,Jr. Daniel Hernandez al 100,Lima,Magdalena,1,Departamento · 79m² · 3 Dormitorios · 1 Estacionamiento
149539768,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149539768?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=23,2026-05-18,magdalena-del-mar,urbania,416500,119000.0,,72,3,3.0,1.0,JR Ayacucho 649,Lima,Magdalena,1,Departamento · 72m² · 3 Dormitorios · 1 Estacionamiento
149684062,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149684062?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=24,2026-05-18,magdalena-del-mar,urbania,1156000,340000.0,,206,3,3.0,2.0,Alberto del Campo 4xx - Duplex con Terraza y Estacionamiento Doble,Lima,Magdalena,1,Departamento · 164m² · 3 Dormitorios · 2 Estacionamientos
