listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149793733,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-1-dormitorio-149793733?n_src=Listado&n_pg=1&n_pos=7,2026-05-18,pueblo-libre,urbania,375000.0,110294.0,,79.0,1.0,2.0,1.0,Jirón Torres Malarín Cuadra 5,Lima,Pueblo Libre,1,Departamento · 79m² · 1 Dormitorio · 1 Estacionamiento
149562770,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-149562770?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=8,2026-05-18,pueblo-libre,urbania,409500.0,,,58.0,2.0,2.0,,Jiron Clovis,Lima,Pueblo Libre,1,Departamento · 58m² · 2 Dormitorios
149177032,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-149177032?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9,2026-05-18,pueblo-libre,urbania,505163.0,149900.0,,100.0,3.0,2.0,1.0,Calle Olavegoya  al 100,Lima,Pueblo Libre,1,Departamento · 100m² · 3 Dormitorios · 1 Estacionamiento
147260186,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-147260186?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10,2026-05-18,pueblo-libre,urbania,520000.0,154978.0,300.0,85.0,3.0,2.0,,Parque Enrique Leon Garcia,Lima,Pueblo Libre,1,Departamento · 84m² · 3 Dormitorios
149517795,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-149517795?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=11,2026-05-18,pueblo-libre,urbania,487000.0,138000.0,270.0,77.0,3.0,2.0,1.0,Av. Brasil 1636,Lima,Pueblo Libre,1,Departamento · 77m² · 3 Dormitorios · 1 Estacionamiento
147947180,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-147947180?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=12,2026-05-18,pueblo-libre,urbania,484900.0,142700.0,350.0,68.0,3.0,1.0,,Av. Del Río 257 - Dpto 303,Lima,Pueblo Libre,1,Departamento · 68m² · 3 Dormitorios
146508356,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-martin-pueblo-libre-3-dormitorios-146508356?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=13,2026-05-18,pueblo-libre,urbania,429000.0,124000.0,,72.0,3.0,2.0,,Avenida Sevilla  Pueblo Libre,Pueblo Libre,San Martin,1,Departamento · 72m² · 3 Dormitorios
143503485,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-los-jardines-de-la-catolica-pueblo-libre-3-dormitorios-143503485?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-05-18,pueblo-libre,urbania,506000.0,138000.0,20.0,100.0,3.0,2.0,,AV.UNIVERSITARIA CERCA U.CATÓLICA Y UNMSM 1ER.PISO 100M2 3DORM. PATIO,Pueblo Libre,Los Jardines De La Catolica,1,Departamento · 100m² · 3 Dormitorios
149700586,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-149700586?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=15,2026-05-18,pueblo-libre,urbania,383000.0,109428.0,,56.0,2.0,2.0,,Calle Santa Fe  al 100,Lima,Pueblo Libre,1,Departamento · 56m² · 2 Dormitorios
148875141,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-5-a-mas-dormitorios-148875141?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=16,2026-05-18,pueblo-libre,urbania,,,,114.0,5.0,3.0,,Av. Colombia,Lima,Pueblo Libre,1,Departamento · 114m² · 5 Dormitorios
