listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149712692,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-san-borja-3-dormitorios-149712692?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=6,2026-05-18,san-borja,urbania,1016600.0,299000.0,520.0,195,3.0,2.0,2.0,Av. Buena Vista  140,San Borja,Chacarilla Del Estanque,1,Departamento · 192m² · 3 Dormitorios · 2 Estacionamientos
149466354,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-149466354?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=7,2026-05-18,san-borja,urbania,569250.0,165000.0,50.0,116,3.0,2.0,,Avenida Aviación 2324,Lima,San Borja,1,Departamento · 106m² · 3 Dormitorios
147036212,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-4-dormitorios-147036212?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=8,2026-05-18,san-borja,urbania,4124319.0,1161780.0,600.0,550,4.0,4.0,2.0,CHACARILLA SAN BORJA,Lima,San Borja,1,Departamento · 380m² · 4 Dormitorios · 2 Estacionamientos
149629256,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-sur-san-borja-4-dormitorios-149629256?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9,2026-05-18,san-borja,urbania,1038000.0,300000.0,,180,4.0,3.0,2.0,Gozzoli Norte al 700,San Borja,San Borja Sur,1,Departamento · 107m² · 4 Dormitorios · 2 Estacionamientos
148432729,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-san-borja-3-dormitorios-148432729?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=10,2026-05-18,san-borja,urbania,2184000.0,650000.0,1200.0,398,3.0,3.0,3.0,Andalucia 189,San Borja,Chacarilla Del Estanque,1,Departamento · 310m² · 3 Dormitorios · 3 Estacionamientos
149833765,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-149833765?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=11,2026-05-18,san-borja,urbania,1345500.0,390000.0,1.0,144,3.0,3.0,2.0,Trinidad,Lima,San Borja,1,Departamento · 144m² · 3 Dormitorios · 2 Estacionamientos
148182240,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-148182240?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=12,2026-05-18,san-borja,urbania,1120000.0,320000.0,30.0,252,3.0,3.0,2.0,Carzou,Lima,San Borja,1,Departamento · 165m² · 3 Dormitorios · 2 Estacionamientos
144847825,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-monterrico-norte-san-borja-3-dormitorios-144847825?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=13,2026-05-18,san-borja,urbania,1225000.0,350000.0,,400,3.0,2.0,2.0,Jirón,San Borja,Monterrico Norte,1,Departamento · 200m² · 3 Dormitorios · 2 Estacionamientos
148990391,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-4-dormitorios-148990391?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=14,2026-05-18,san-borja,urbania,972000.0,282000.0,250.0,167,4.0,3.0,1.0,Jirón Batrich Bozovich  al 300,Lima,San Borja,1,Departamento · 167m² · 4 Dormitorios · 1 Estacionamiento
149544084,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-149544084?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-05-18,san-borja,urbania,670000.0,197888.0,250.0,90,3.0,2.0,,Jr. Millet 175,Lima,San Borja,1,Departamento · 90m² · 3 Dormitorios
149589354,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-masias-san-borja-2-dormitorios-149589354?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=16,2026-05-18,san-borja,urbania,291550.0,85000.0,80.0,54,2.0,1.0,,Calle de la Técnica 280,San Borja,San Juan Masias,1,Departamento · 54m² · 2 Dormitorios
147555133,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-147555133?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=17,2026-05-18,san-borja,urbania,670000.0,191400.0,,90,3.0,3.0,,Jr. Millet 173 San Borja,Lima,San Borja,1,Departamento · 90m² · 3 Dormitorios
149861642,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-149861642?n_src=Listado&n_pills=Frente+a+parque&n_pg=1&n_pos=18,2026-05-18,san-borja,urbania,1155750.0,335000.0,500.0,130,3.0,2.0,2.0,Avenida Boulevard de Surco 1052,Lima,San Borja,1,Departamento · 130m² · 3 Dormitorios · 2 Estacionamientos
149242869,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-san-borja-4-dormitorios-149242869?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=19,2026-05-18,san-borja,urbania,2134000.0,577656.0,,270,4.0,3.0,2.0,"Venta DE Duplex EN Chacarilla DEL Estanque , SAN Borja",San Borja,Chacarilla Del Estanque,1,Departamento · 270m² · 4 Dormitorios · 2 Estacionamientos
149651548,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-149651548?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=20,2026-05-18,san-borja,urbania,986000.0,290000.0,1.0,197,3.0,2.0,2.0,Av Buena Vista,Lima,San Borja,1,Departamento · 197m² · 3 Dormitorios · 2 Estacionamientos
148324134,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-4-dormitorios-148324134?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,2026-05-18,san-borja,urbania,986000.0,290000.0,,200,4.0,3.0,2.0,Jr. 24 Piso 3 San Borja - VTA,Lima,San Borja,1,Departamento · 160m² · 4 Dormitorios · 2 Estacionamientos
149456465,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-corpac-san-borja-3-dormitorios-149456465?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=22,2026-05-18,san-borja,urbania,835250.0,250000.0,400.0,112,3.0,2.0,1.0,Jr. Pietro Torrigiano 400 - a 2 Cuadras de Parque de la Familia y Ebony,San Borja,Corpac,1,Departamento · 112m² · 3 Dormitorios · 1 Estacionamiento
