listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149408431,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-149408431?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=16,2026-05-18,san-isidro,urbania,1037000.0,305000.0,,160,3.0,3.0,2.0,LOS Sauces  al 300,Lima,San Isidro,1,Departamento · 160m² · 3 Dormitorios · 2 Estacionamientos
147196339,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-147196339?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=17,2026-05-18,san-isidro,urbania,1963500.0,550000.0,790.0,220,3.0,4.0,3.0,Calle Tomas  Edison 292 Urb. Country Club San Isidro,Lima,San Isidro,1,Departamento · 220m² · 3 Dormitorios · 3 Estacionamientos
148133160,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-148133160?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,2026-05-18,san-isidro,urbania,1150522.0,340000.0,512.0,147,3.0,4.0,1.0,Ca. Porras Osores,Lima,San Isidro,1,Departamento · 147m² · 3 Dormitorios · 1 Estacionamiento
146828843,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-4-dormitorios-146828843?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,2026-05-18,san-isidro,urbania,867000.0,255000.0,,185,4.0,5.0,,CALLE JOSE DEL LLANO ZAPATA,Lima,San Isidro,1,Departamento · 185m² · 4 Dormitorios
149475881,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-orrantia-san-isidro-2-dormitorios-149475881?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=20,2026-05-18,san-isidro,urbania,733150.0,215000.0,750.0,112,2.0,2.0,2.0,Av. Jorge Basadre Grohmann 840,San Isidro,Orrantia,1,Departamento · 112m² · 2 Dormitorios · 2 Estacionamientos
149316462,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-2-dormitorios-149316462?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=21,2026-05-18,san-isidro,urbania,1142400.0,340000.0,,180,2.0,2.0,2.0,Av. Conquistadores al 1100,Lima,San Isidro,1,Departamento · 180m² · 2 Dormitorios · 2 Estacionamientos
148172881,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-148172881?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,2026-05-18,san-isidro,urbania,1396000.0,415000.0,850.0,280,3.0,3.0,2.0,Avenida Parque Sur al 400,Lima,San Isidro,1,Departamento · 280m² · 3 Dormitorios · 2 Estacionamientos
149685900,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-149685900?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=23,2026-05-18,san-isidro,urbania,1420000.0,355000.0,900.0,181,3.0,3.0,2.0,Los Manzanos al 454,Lima,San Isidro,1,Departamento · 181m² · 3 Dormitorios · 2 Estacionamientos
148288136,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-148288136?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=24,2026-05-18,san-isidro,urbania,1527000.0,449000.0,1076.0,177,3.0,3.0,2.0,Golf Millenium,Lima,San Isidro,1,Departamento · 177m² · 3 Dormitorios · 2 Estacionamientos
146747481,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-1-dormitorio-146747481?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=25,2026-05-18,san-isidro,urbania,430000.0,127500.0,,47,1.0,1.0,1.0,Ca. Los Laureles 250,Lima,San Isidro,1,Departamento · 47m² · 1 Dormitorio · 1 Estacionamiento
149264726,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-149264726?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=26,2026-05-18,san-isidro,urbania,538200.0,156000.0,250.0,83,3.0,2.0,,"Avenida. Arequipa, san Isidro",Lima,San Isidro,1,Departamento · 83m² · 3 Dormitorios
