listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
147947378,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-147947378?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=16,2026-05-18,san-miguel,urbania,374000,110000.0,180.0,84,3.0,2.0,,"Av Costanera, San Miguel",Lima,San Miguel,1,Departamento · 84m² · 3 Dormitorios
149779274,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-miramar-san-miguel-2-dormitorios-149779274?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=17,2026-05-18,san-miguel,urbania,340000,99990.0,200.0,76,2.0,2.0,,Avenida La Paz 118,San Miguel,Miramar,1,Departamento · 70m² · 2 Dormitorios
149828591,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-149828591?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,2026-05-18,san-miguel,urbania,479500,139000.0,260.0,105,3.0,2.0,1.0,"La Mar 441, San Miguel 15088",Lima,San Miguel,1,Departamento · 105m² · 3 Dormitorios · 1 Estacionamiento
143503605,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lima-san-miguel-3-dormitorios-143503605?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,2026-05-18,san-miguel,urbania,506000,138000.0,20.0,100,3.0,2.0,,POR  U.CATÓLICA DEPA 100M2 PATIO 1ER.PISO,San Miguel,Lima,1,Departamento · 100m² · 3 Dormitorios
149100547,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-149100547?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=20,2026-05-18,san-miguel,urbania,340000,99000.0,280.0,78,3.0,2.0,,Avenida Costanera,Lima,San Miguel,1,Departamento · 78m² · 3 Dormitorios
149258507,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-maranga-san-miguel-2-dormitorios-149258507?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=21,2026-05-18,san-miguel,urbania,374000,,,68,2.0,2.0,1.0,Calle Padre Urracar Cdra2,San Miguel,Maranga,1,Departamento · 68m² · 2 Dormitorios · 1 Estacionamiento
148837861,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-2-dormitorios-148837861?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,2026-05-18,san-miguel,urbania,362000,107000.0,300.0,58,2.0,2.0,,Calle Mercedes Gallagher al 300,Lima,San Miguel,1,Departamento · 58m² · 2 Dormitorios
149008499,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-2-dormitorios-149008499?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=23,2026-05-18,san-miguel,urbania,240000,69000.0,200.0,50,2.0,2.0,,Av La Paz 118,Lima,San Miguel,1,Departamento · 50m² · 2 Dormitorios
149272941,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-149272941?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=24,2026-05-18,san-miguel,urbania,502500,150000.0,,140,3.0,2.0,,"Amplio y Espacioso Dúplex en San Miguel – Súper Iluminado y a Excelente Precio $150,000 No Cochera",Lima,San Miguel,1,Departamento · 140m² · 3 Dormitorios
149265835,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-2-dormitorios-149265835?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=25,2026-05-18,san-miguel,urbania,320000,94000.0,,65,2.0,2.0,,Talambo,Lima,San Miguel,1,Departamento · 65m² · 2 Dormitorios
148675031,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-148675031?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=26,2026-05-18,san-miguel,urbania,534400,151000.0,340.0,87,3.0,2.0,1.0,Malecon Bertolotto  al 100,Lima,San Miguel,1,Departamento · 87m² · 3 Dormitorios · 1 Estacionamiento
149508873,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-149508873?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=27,2026-05-18,san-miguel,urbania,500000,145000.0,,83,3.0,3.0,,Calle Gonzales Candamo  al 200,Lima,San Miguel,1,Departamento · 83m² · 3 Dormitorios
148350789,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-2-dormitorios-148350789?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=28,2026-05-18,san-miguel,urbania,349000,102650.0,250.0,63,2.0,2.0,1.0,COSTANERA 2900,Lima,San Miguel,1,Departamento · 65m² · 2 Dormitorios · 1 Estacionamiento
149588514,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-1-dormitorio-149588514?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=29,2026-05-18,san-miguel,urbania,238560,,,42,1.0,1.0,,Calle Pedrerías 164,Lima,San Miguel,1,Departamento · 42m² · 1 Dormitorio
147791674,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-1-dormitorio-147791674?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=30,2026-05-18,san-miguel,urbania,274500,75000.0,150.0,47,1.0,1.0,,AV Andrez Razuri 344,Lima,San Miguel,1,Departamento · 47ha · 1 Dormitorio
149685604,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-1-dormitorio-149685604?n_src=Listado&n_pills=Gimnasio&n_pg=2&n_pos=8,2026-05-18,san-miguel,urbania,350000,100000.0,,39,1.0,1.0,,Av. Costanera 2560,Lima,San Miguel,1,Departamento · 39m² · 1 Dormitorio
149367999,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-2-dormitorios-149367999?n_src=Listado&n_pills=Piscina&n_pg=2&n_pos=9,2026-05-18,san-miguel,urbania,560000,,,68,2.0,2.0,1.0,Av. Bertolotto 850,Lima,San Miguel,1,Departamento · 68m² · 2 Dormitorios · 1 Estacionamiento
149643334,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pando-san-miguel-1-dormitorio-149643334?n_src=Listado&n_pg=2&n_pos=10,2026-05-18,san-miguel,urbania,260000,75000.0,,58,1.0,1.0,,Av. Monseñor Jorge Dintilhac 309,San Miguel,Pando,1,Departamento · 58m² · 1 Dormitorio
147617581,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pando-san-miguel-3-dormitorios-147617581?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=11,2026-05-18,san-miguel,urbania,445000,129000.0,,67,3.0,1.0,,mariana Echevarria 22x,San Miguel,Pando,1,Departamento · 67m² · 3 Dormitorios
149003800,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-149003800?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=2&n_pos=12,2026-05-18,san-miguel,urbania,418250,119500.0,,95,3.0,2.0,,Calle Diego Quispe Tito  al 100,Lima,San Miguel,1,Departamento · 95m² · 3 Dormitorios
149014890,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-2-dormitorios-149014890?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=13,2026-05-18,san-miguel,urbania,540000,157000.0,,129,2.0,2.0,,Jiron Manco Segundo 200,Lima,San Miguel,1,Departamento · 129m² · 2 Dormitorios
149293368,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-149293368?n_src=Listado&n_pills=Piscina&n_pg=2&n_pos=14,2026-05-18,san-miguel,urbania,697000,,450.0,119,3.0,2.0,1.0,Jr. Manco II  165,Lima,San Miguel,1,Departamento · 119m² · 3 Dormitorios · 1 Estacionamiento
147910133,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-1-dormitorio-147910133?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=2&n_pos=15,2026-05-18,san-miguel,urbania,292500,78000.0,,44,1.0,1.0,,Calle Munaysenca San Miguel,Lima,San Miguel,1,Departamento · 44ha · 1 Dormitorio
