listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149346464,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-149346464?n_src=Listado&n_pg=1&n_pos=13,2026-05-18,surquillo,urbania,450000,133531.0,,66,2.0,2.0,1.0,Av. Tomás Marsano  al 1600,Lima,Surquillo,1,Departamento · 66m² · 2 Dormitorios · 1 Estacionamiento
149303089,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-1-dormitorio-149303089?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=14,2026-05-18,surquillo,urbania,345000,100000.0,200.0,40,1.0,1.0,,Avenida Roca y Boloña,Lima,Surquillo,1,Departamento · 40m² · 1 Dormitorio
149266687,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-aurora-este-surquillo-3-dormitorios-149266687?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-05-18,surquillo,urbania,582000,168200.0,,82,3.0,2.0,1.0,Av. Tomás Marsano,Surquillo,Aurora Este,1,Departamento · 82m² · 3 Dormitorios · 1 Estacionamiento
148711897,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-los-sauces-surquillo-2-dormitorios-148711897?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=16,2026-05-18,surquillo,urbania,817650,237000.0,,108,2.0,2.0,1.0,Avenida Vallles del sur,Surquillo,Los Sauces,1,Departamento · 108m² · 2 Dormitorios · 1 Estacionamiento
147788371,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-147788371?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,2026-05-18,surquillo,urbania,444000,130000.0,,72,,,,DA Vinci 410,Lima,Surquillo,1,Departamento · 72ha
149432246,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-149432246?n_src=Listado&n_pg=1&n_pos=18,2026-05-18,surquillo,urbania,318250,95000.0,80.0,65,2.0,1.0,,Calle Los Halcones 6,Lima,Surquillo,1,Departamento · 65m² · 2 Dormitorios
148896040,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-148896040?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,2026-05-18,surquillo,urbania,367100,108931.0,,46,2.0,2.0,,Ca. Alfa Boyero  al 100 - Coworking - Iluminación por voz -2 Dormitorios - 2 Baños,Lima,Surquillo,1,Departamento · 46m² · 2 Dormitorios
149864025,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-los-sauces-surquillo-1-dormitorio-149864025?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=20,2026-05-18,surquillo,urbania,343530,99000.0,,57,1.0,1.0,,Pasaje El Bambu,Surquillo,Los Sauces,1,Departamento · 57m² · 1 Dormitorio
148227498,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-3-dormitorios-148227498?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=21,2026-05-18,surquillo,urbania,710600,208000.0,500.0,104,3.0,2.0,2.0,Victor Maurtua,Lima,Surquillo,1,Departamento · 104m² · 3 Dormitorios · 2 Estacionamientos
149107405,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-calera-surquillo-2-dormitorios-149107405?n_src=Listado&n_pg=1&n_pos=22,2026-05-18,surquillo,urbania,525000,,290.0,78,2.0,2.0,,"Calle Rodin, La Calera, Surquillo.",Surquillo,La Calera,1,Departamento · 78m² · 2 Dormitorios
149603588,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-calera-de-la-merced-surquillo-2-dormitorios-149603588?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=23,2026-05-18,surquillo,urbania,455847,132900.0,200.0,75,2.0,1.0,1.0,Calle Montesquieu 300,Surquillo,La Calera De La Merced,1,Departamento · 75m² · 2 Dormitorios · 1 Estacionamiento
149890601,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-calera-surquillo-1-dormitorio-149890601?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,2026-05-18,surquillo,urbania,305000,89500.0,180.0,40,1.0,1.0,1.0,Avenida Principal 800,Surquillo,La Calera,1,Departamento · 40m² · 1 Dormitorio · 1 Estacionamiento
149779211,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-calera-surquillo-2-dormitorios-149779211?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=25,2026-05-18,surquillo,urbania,355000,,230.0,55,2.0,2.0,,"Av.principal Cdra.8, Surquillo",Surquillo,La Calera,1,Departamento · 55m² · 2 Dormitorios
149287217,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-149287217?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=26,2026-05-18,surquillo,urbania,543000,156762.0,,58,2.0,2.0,,Andres Aramburú 600,Lima,Surquillo,1,Departamento · 58m² · 2 Dormitorios
