listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149028043,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-ate-vitarte-lima-2-dormitorios-149028043?n_src=Listado&n_pg=1&n_pos=1,2026-04-22,ate,urbania,330660,99000.0,,75,2.0,2.0,,Pasaje Los Alpes Urb. Alpamayo,Lima,Ate Vitarte,10,Departamento · 75m² · 2 Dormitorios
149149198,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-javier-prado-et6-ate-vitarte-3-dormitorios-149149198?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=2,2026-04-22,ate,urbania,404168,120000.0,,126,3.0,2.0,,Av. Marginal al 100,Ate Vitarte,Javier Prado Et.6,10,Departamento · 126m² · 3 Dormitorios
149447203,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-salamanca-de-monterrico-ate-vitarte-1-dormitorio-149447203?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3,2026-04-22,ate,urbania,360000,,,50,1.0,1.0,,Calle LAS Tunas al 400,Ate Vitarte,Salamanca De Monterrico,10,Departamento · 43m² · 1 Dormitorio
145779160,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mayorazgo-ate-vitarte-3-dormitorios-145779160?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4,2026-04-22,ate,urbania,482330,139000.0,,99,3.0,2.0,,C. Marbella  al 200,Ate Vitarte,Mayorazgo,1,Departamento · 99m² · 3 Dormitorios
148288992,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-salamanca-de-monterrico-ate-vitarte-3-dormitorios-148288992?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=5,2026-04-22,ate,urbania,463500,133000.0,463500133000.0,107,3.0,2.0,,Salamanca de Monterrico,Ate Vitarte,Salamanca De Monterrico,1,Departamento · 107m² · 3 Dormitorios
148408607,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-salamanca-de-monterrico-ate-vitarte-4-dormitorios-148408607?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6,2026-04-22,ate,urbania,760000,,,134,4.0,3.0,,Calle Las Tunas  al 400,Ate Vitarte,Salamanca De Monterrico,1,Departamento · 85m² · 4 Dormitorios
148259756,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-salamanca-de-monterrico-ate-vitarte-148259756?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7,2026-04-22,ate,urbania,750000,,,130,,,,Calle Las Tunas al 400,Ate Vitarte,Salamanca De Monterrico,1,Departamento · 86m²
149037885,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-ate-vitarte-lima-5-a-mas-dormitorios-149037885?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-04-22,ate,urbania,705600,210000.0,,270,5.0,4.0,,Av. Prol. Javier Prado Este 9051 al 9000,Lima,Ate Vitarte,1,Departamento · 270m² · 5 Dormitorios
149207626,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-ate-vitarte-lima-3-dormitorios-149207626?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9,2026-04-22,ate,urbania,243600,70000.0,,75,3.0,2.0,,"Rio Marañon, Ate 15498, Perú",Lima,Ate Vitarte,1,Departamento · 75m² · 3 Dormitorios
147904279,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-mayorazgo-ate-vitarte-3-dormitorios-147904279?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10,2026-04-22,ate,urbania,530100,155000.0,530100155000.0,143,3.0,3.0,,Lerida 211 al 200,Ate Vitarte,Mayorazgo,1,Departamento · 143m² · 3 Dormitorios
