listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
145211404,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-145211404?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=9,2026-04-22,barranco,urbania,922670.0,245000.0,922670245000.0,80,1,1,1.0,Av el sol Oeste,Lima,Barranco,1,Departamento · 80m² · 1 Dormitorio · 1 Estacionamiento
148980787,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-2-dormitorios-148980787?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=10,2026-04-22,barranco,urbania,788000.0,235000.0,788000235000.0,92,2,2,2.0,Av. San Martín,Lima,Barranco,1,Departamento · 92m² · 2 Dormitorios · 2 Estacionamientos
147856840,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-2-dormitorios-147856840?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=11,2026-04-22,barranco,urbania,788455.0,222100.0,,81,2,2,,"Jirón 2 de Mayo 150, Barranco",Lima,Barranco,1,Departamento · 83m² · 2 Dormitorios
148454159,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-148454159?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=12,2026-04-22,barranco,urbania,432000.0,127000.0,432000127000.0,40,1,1,,Av. San Martin 618 - Dpto 1004,Lima,Barranco,1,Departamento · 40m² · 1 Dormitorio
149540009,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-2-dormitorios-149540009?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=13,2026-04-22,barranco,urbania,506000.0,150000.0,506000150000.0,51,2,1,1.0,Jirón Pedro Martinto al 100,Lima,Barranco,1,Departamento · 51m² · 2 Dormitorios · 1 Estacionamiento
145526893,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-4-dormitorios-145526893?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=14,2026-04-22,barranco,urbania,977300.0,290000.0,,162,4,4,2.0,Carlos Arrieta 253,Lima,Barranco,1,Departamento · 110m² · 4 Dormitorios · 2 Estacionamientos
148832648,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-2-dormitorios-148832648?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=15,2026-04-22,barranco,urbania,520000.0,155225.0,520000155225.0,60,2,2,1.0,Av. El Sol Este 176,Lima,Barranco,1,Departamento · 60m² · 2 Dormitorios · 1 Estacionamiento
148907908,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-148907908?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=16,2026-04-22,barranco,urbania,302600.0,89000.0,30260089000.0,45,1,1,,Jiron Corpancho Barranco,Lima,Barranco,1,Departamento · 45m² · 1 Dormitorio
148320197,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-148320197?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=17,2026-04-22,barranco,urbania,486407.0,145000.0,486407145000.0,43,1,1,1.0,Avenida Pedro de Osma 346,Lima,Barranco,1,Departamento · 43m² · 1 Dormitorio · 1 Estacionamiento
149103926,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-149103926?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=18,2026-04-22,barranco,urbania,602000.0,174000.0,602000174000.0,70,1,1,1.0,Av. Pedro de Osma 346 Dpto. SS03,Lima,Barranco,1,Departamento · 70m² · 1 Dormitorio · 1 Estacionamiento
148035659,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-2-dormitorios-148035659?n_src=Listado&n_pills=Frente+a+parque&n_pg=1&n_pos=19,2026-04-22,barranco,urbania,578116.0,,,55,2,2,,bustamante,Lima,Barranco,1,Departamento · 55m² · 2 Dormitorios
