listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149336513,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-149336513?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10,2026-04-22,chorrillos,urbania,401200,118000,,90,3,2,1.0,SE Vende Depto EN Condominio LAS Torres 3ER Piso SIN Ascensor CON Estacionamiento EN Calle Andromeda Chorrillos,Lima,Chorrillos,1,Departamento · 90m² · 3 Dormitorios · 1 Estacionamiento
149350601,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-1-dormitorio-149350601?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=11,2026-04-22,chorrillos,urbania,405375,117500,405375117500.0,58,1,1,,Chorrillos al 100,Lima,Chorrillos,1,Departamento · 58m² · 1 Dormitorio
149105963,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-2-dormitorios-149105963?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=12,2026-04-22,chorrillos,urbania,272550,79000,,101,2,2,,Av La Costanera Chorrillos al 100,Lima,Chorrillos,1,Departamento · 101m² · 2 Dormitorios
149377978,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-1-dormitorio-149377978?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=13,2026-04-22,chorrillos,urbania,299358,88046,,40,1,1,,Depa de Estreno en Chorrillos con Gran Proyección y Excelente Conexión,Lima,Chorrillos,1,Departamento · 40m² · 1 Dormitorio
149134609,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-campina-chorrillos-3-dormitorios-149134609?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-04-22,chorrillos,urbania,407000,118000,,66,3,2,1.0,"Jiron Juno 184, Chorrillos",Chorrillos,La Campiña,1,Departamento · 66m² · 3 Dormitorios · 1 Estacionamiento
148936745,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-148936745?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=15,2026-04-22,chorrillos,urbania,550400,160000,550400160000.0,218,3,5,,Calle Donald Douglas 100,Lima,Chorrillos,1,Departamento · 218m² · 3 Dormitorios
149620601,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-2-dormitorios-149620601?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=16,2026-04-22,chorrillos,urbania,387000,113000,,58,2,2,,Av. Las Gaviotas al 400,Lima,Chorrillos,1,Departamento · 58m² · 2 Dormitorios
149178757,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-149178757?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,2026-04-22,chorrillos,urbania,375000,110000,375000110000.0,99,3,3,,Av. Los Faisanes 335,Lima,Chorrillos,1,Departamento · 62m² · 3 Dormitorios
149506211,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-149506211?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,2026-04-22,chorrillos,urbania,380655,110000,380655110000.0,92,3,2,,Urbanización Rosario de Villa  al 700,Lima,Chorrillos,1,Departamento · 92m² · 3 Dormitorios
145081288,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-145081288?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=19,2026-04-22,chorrillos,urbania,1628000,440000,,146,3,2,,Mal. Costa Sur 356,Lima,Chorrillos,1,Departamento · 144m² · 3 Dormitorios
