listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
147107047,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-147107047?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=1,2026-04-22,comas,urbania,203000,58000.0,,69,3.0,1.0,,Av. Sangarara 546,Lima,Comas,10,Departamento · 69m² · 3 Dormitorios
149547998,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacra-cerro-comas-2-dormitorios-149547998?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=2,2026-04-22,comas,urbania,202300,59500.0,20230059500.0,50,2.0,1.0,1.0,"Condominio Los Girasoles, Tercera Etapa",Comas,Chacra Cerro,10,Departamento · 50m² · 2 Dormitorios · 1 Estacionamiento
146741092,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-2-dormitorios-146741092?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3,2026-04-22,comas,urbania,174200,52000.0,,73,2.0,2.0,,jr Bosques de Huayllay Comas,Lima,Comas,10,Departamento · 73m² · 2 Dormitorios
148343005,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-4-dormitorios-148343005?n_src=Listado&n_pg=1&n_pos=4,2026-04-22,comas,urbania,217415,64900.0,,221,4.0,3.0,,Jr. Tarma  - Comas,Lima,Comas,1,Departamento · 221m² · 4 Dormitorios
148633271,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-2-dormitorios-148633271?n_src=Listado&n_pg=1&n_pos=5,2026-04-22,comas,urbania,107184,30800.0,,40,2.0,1.0,,"Riva Aguero 257, Comas 15312, Perú",Lima,Comas,1,Departamento · 40m² · 2 Dormitorios
148984283,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-4-dormitorios-148984283?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6,2026-04-22,comas,urbania,287000,82000.0,,101,4.0,2.0,,"San Jorge 130, Comas",Lima,Comas,1,Departamento · 101m² · 4 Dormitorios
149040079,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-retablo-comas-149040079?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=7,2026-04-22,comas,urbania,299000,,299000.0,86,,2.0,,"Calle 9, Comas 15117",Comas,El Retablo,1,Departamento · 86m²
149115427,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-149115427?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-04-22,comas,urbania,197650,53000.0,,101,3.0,2.0,,Jr Cusco,Lima,Comas,1,Departamento · 101m² · 3 Dormitorios
148045313,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-luzmila-comas-2-dormitorios-148045313?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9,2026-04-22,comas,urbania,221000,65000.0,,97,2.0,1.0,,Mateo Silva  Santa Luzmila Comas,Comas,Santa Luzmila,1,Departamento · 98m² · 2 Dormitorios
143672582,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-143672582?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=10,2026-04-22,comas,urbania,170000,50000.0,17000050000.0,50,3.0,1.0,,LOS GIRASOLES TERCERA ETAPA,Lima,Comas,1,Departamento · 50m² · 3 Dormitorios
149508557,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-comas-4-dormitorios-149508557?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=11,2026-04-22,comas,urbania,273600,80000.0,,124,4.0,2.0,,Bolivar 160,Comas,Comas,1,Departamento · 121m² · 4 Dormitorios
147790015,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-147790015?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=12,2026-04-22,comas,urbania,174000,48000.0,17400048000.0,62,3.0,1.0,,Residencial Villajacaranda,Lima,Comas,1,Departamento · 62m² · 3 Dormitorios
149169432,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-149169432?n_src=Listado&n_pg=1&n_pos=13,2026-04-22,comas,urbania,170000,,,50,3.0,1.0,,Condominio Los Laureles 4ta Etapa,Lima,Comas,1,Departamento · 50m² · 3 Dormitorios
149247182,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-4-dormitorios-149247182?n_src=Listado&n_pg=1&n_pos=14,2026-04-22,comas,urbania,390000,,,104,4.0,2.0,,Condominio Top - Mambo Tress,Lima,Comas,1,Departamento · 104m² · 4 Dormitorios
148123857,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-comas-lima-3-dormitorios-148123857?n_src=Listado&n_pg=1&n_pos=15,2026-04-22,comas,urbania,156980,47000.0,,106,3.0,1.0,,"C. 34 187, Comas 15316, Perú",Lima,Comas,1,Departamento · 75m² · 3 Dormitorios
