listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
148008656,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-portada-del-sol-la-molina-3-dormitorios-148008656?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=1,2026-04-22,la-molina,urbania,482000.0,144000.0,,125,3,2,,Amplio Espacio y 20m2 Extras- 2 Estacionmientos - 4 Habitaciones. 2.5 Baños. sin Gastos de Mantenimiento,La Molina,Portada Del Sol,10,Departamento · 125m² · 3 Dormitorios
147209460,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-remanso-la-molina-3-dormitorios-147209460?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=2,2026-04-22,la-molina,urbania,909900.0,270000.0,,231,3,2,1.0,C. Los Ishpingos 180,La Molina,El Remanso,10,Departamento · 185m² · 3 Dormitorios · 1 Estacionamiento
146741304,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-4-dormitorios-146741304?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=3,2026-04-22,la-molina,urbania,2715000.0,750000.0,2715000750000.0,400,4,3,2.0,MANUEL PRADO UGARTECHE,Lima,La Molina,10,Departamento · 380m² · 4 Dormitorios · 2 Estacionamientos
145643525,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-4-dormitorios-145643525?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=4,2026-04-22,la-molina,urbania,2109000.0,570000.0,2109000570000.0,300,4,4,3.0,Calle 3,Lima,La Molina,1,Departamento · 260m² · 4 Dormitorios · 3 Estacionamientos
145761753,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-3-dormitorios-145761753?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=5,2026-04-22,la-molina,urbania,943250.0,275000.0,,252,3,3,2.0,Urb. El Remanso,Lima,La Molina,1,Departamento · 126m² · 3 Dormitorios · 2 Estacionamientos
149592140,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-3-dormitorios-149592140?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6,2026-04-22,la-molina,urbania,595000.0,175000.0,,205,3,2,1.0,Jirón Paseo de los Condes  al 100,Lima,La Molina,1,Departamento · 162m² · 3 Dormitorios · 1 Estacionamiento
147907590,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-sirius-la-molina-3-dormitorios-147907590?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=7,2026-04-22,la-molina,urbania,569250.0,165000.0,,102,3,2,1.0,"Alameda del Corregidor 15, Piso 1, Urb Sirius, La Molina",La Molina,Sirius,1,Departamento · 102m² · 3 Dormitorios · 1 Estacionamiento
149464421,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-patricia-etapa-iii-la-molina-3-dormitorios-149464421?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=8,2026-04-22,la-molina,urbania,518000.0,150000.0,518000150000.0,111,3,2,1.0,Emancipacion 262,La Molina,Santa Patricia Etapa Iii,1,Departamento · 105m² · 3 Dormitorios · 1 Estacionamiento
149478147,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-el-remanso-la-molina-3-dormitorios-149478147?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=9,2026-04-22,la-molina,urbania,846600.0,249000.0,,167,3,4,2.0,Av Raul Ferrero La Molina,La Molina,El Remanso,1,Departamento · 167m² · 3 Dormitorios · 2 Estacionamientos
149490134,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-2-dormitorios-149490134?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=10,2026-04-22,la-molina,urbania,599650.0,179000.0,,92,2,2,1.0,LOS Mecanicos  100,Lima,La Molina,1,Departamento · 92m² · 2 Dormitorios · 1 Estacionamiento
