listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149585805,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-1-dormitorio-149585805?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=10,2026-04-22,la-victoria,urbania,312766,84900.0,31276684900.0,36,1,1,,Avenida Canada - LA Victoria  al 100,Lima,La Victoria,1,Departamento · 36m² · 1 Dormitorio
148179290,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-3-dormitorios-148179290?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=11,2026-04-22,la-victoria,urbania,289000,85000.0,,85,3,1,,Jr. Manuel Cisneros 11xx,Lima,La Victoria,1,Departamento · 85m² · 3 Dormitorios
149278134,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-2-dormitorios-149278134?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=12,2026-04-22,la-victoria,urbania,524000,,524000.0,73,2,2,,Av. José Gálvez Barrenechea,Lima,La Victoria,1,Departamento · 73m² · 2 Dormitorios
145474977,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-pablo-la-victoria-1-dormitorio-145474977?n_src=Listado&n_pg=1&n_pos=13,2026-04-22,la-victoria,urbania,188000,,,49,1,1,,Jr. Evaristo San Cristobal 1751 Urb San Pablo Interior N°308 Piso3,La Victoria,San Pablo,1,Departamento · 49m² · 1 Dormitorio
147856812,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-3-dormitorios-147856812?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=14,2026-04-22,la-victoria,urbania,610000,,610000.0,75,3,2,1.0,Av. Paseo de la Republica 2099,Lima,La Victoria,1,Departamento · 75m² · 3 Dormitorios · 1 Estacionamiento
149321586,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-3-dormitorios-149321586?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-04-22,la-victoria,urbania,600000,175000.0,,196,3,2,,Calle Constantino Carballo LA Victoria al 100,Lima,La Victoria,1,Departamento · 196m² · 3 Dormitorios
149264394,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-3-dormitorios-149264394?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=16,2026-04-22,la-victoria,urbania,575000,,,71,3,2,1.0,Av. Javier Prado Este 1035 al 1000,Lima,La Victoria,1,Departamento · 71m² · 3 Dormitorios · 1 Estacionamiento
148542138,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-catalina-la-victoria-2-dormitorios-148542138?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=17,2026-04-22,la-victoria,urbania,636000,184999.0,,116,2,4,,Mariano Pacheco 1007,La Victoria,Santa Catalina,1,Departamento · 116m² · 2 Dormitorios
149031702,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-catalina-la-victoria-1-dormitorio-149031702?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=18,2026-04-22,la-victoria,urbania,270540,81000.0,,37,1,1,,Av. Paseo de la Republica al 2100,La Victoria,Santa Catalina,1,Departamento · 37m² · 1 Dormitorio
148287702,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-catalina-la-victoria-2-dormitorios-148287702?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=19,2026-04-22,la-victoria,urbania,470000,135000.0,470000135000.0,62,2,2,,Av. Paseo de la República,La Victoria,Santa Catalina,1,Departamento · 62m² · 2 Dormitorios
148657503,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-balconcillo-la-victoria-5-a-mas-dormitorios-148657503?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=20,2026-04-22,la-victoria,urbania,437760,128000.0,,102,5,2,,Los Rubíes al 420,La Victoria,Balconcillo,1,Departamento · 102m² · 5 Dormitorios
149237031,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-2-dormitorios-149237031?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=21,2026-04-22,la-victoria,urbania,419505,120202.0,,55,2,2,1.0,Av Javier Prado Este  al 1000,Lima,La Victoria,1,Departamento · 55m² · 2 Dormitorios · 1 Estacionamiento
149428506,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-2-dormitorios-149428506?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=22,2026-04-22,la-victoria,urbania,268600,79000.0,,90,2,1,,Jirón Alberto Barton,Lima,La Victoria,1,Departamento · 90m² · 2 Dormitorios
148697067,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-4-dormitorios-148697067?n_src=Listado&n_pg=1&n_pos=23,2026-04-22,la-victoria,urbania,550000,162000.0,,133,4,3,,José de Rivadeneyra,Lima,La Victoria,1,Departamento · 133m² · 4 Dormitorios
147908103,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-beatriz-la-victoria-3-dormitorios-147908103?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,2026-04-22,la-victoria,urbania,479000,129000.0,,66,3,2,,Avenida Arequipa 1441,La Victoria,Santa Beatriz,1,Departamento · 66m² · 3 Dormitorios
149490177,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-catalina-la-victoria-5-a-mas-dormitorios-149490177?n_src=Listado&n_pg=1&n_pos=25,2026-04-22,la-victoria,urbania,610000,175000.0,,120,5,5,1.0,Esteban Campodónico,La Victoria,Santa Catalina,1,Departamento · 120m² · 5 Dormitorios · 1 Estacionamiento
148771846,https://urbania.pe/inmueble/clasificado/veclappa-venta-de-departamento-en-santa-catalina-la-victoria-3-dormitorios-148771846?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=26,2026-04-22,la-victoria,urbania,583500,,,94,3,2,,Valderrama 174,La Victoria,Santa Catalina,1,Departamento · 94m² · 3 Dormitorios
149329713,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-2-dormitorios-149329713?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=27,2026-04-22,la-victoria,urbania,436600,118000.0,436600118000.0,57,2,2,,santa catalina,Lima,La Victoria,1,Departamento · 57m² · 2 Dormitorios
149611405,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-victoria-lima-2-dormitorios-149611405?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=28,2026-04-22,la-victoria,urbania,376000,109000.0,,85,2,1,,Jr. León García 447,Lima,La Victoria,1,Departamento · 85m² · 2 Dormitorios
148859433,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-balconcillo-la-victoria-3-dormitorios-148859433?n_src=Listado&n_pg=1&n_pos=29,2026-04-22,la-victoria,urbania,375000,109000.0,,137,3,2,,Av. De las Américas 636,La Victoria,Balconcillo,1,Departamento · 78m² · 3 Dormitorios
148713385,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-catalina-la-victoria-3-dormitorios-148713385?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=30,2026-04-22,la-victoria,urbania,409000,119000.0,409000119000.0,83,3,2,1.0,Av. Sta. Catalina,La Victoria,Santa Catalina,1,Departamento · 83m² · 3 Dormitorios · 1 Estacionamiento
