listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
148378163,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-2-dormitorios-148378163?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=13,2026-04-22,lince,urbania,582585,,,64,2,2,,Calle Las Margaritas 171,Lima,Lince,1,Departamento · 64m² · 2 Dormitorios
147066995,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-4-dormitorios-147066995?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-04-22,lince,urbania,612500,175000.0,,200,4,2,,Av. Ignacio Merino 1691,Lima,Lince,1,Departamento · 144m² · 4 Dormitorios
149516373,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-149516373?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-04-22,lince,urbania,707363,209900.0,707363209900.0,91,3,2,1.0,Jiron Comandante Manuel Villavicencio  al 800,Lima,Lince,1,Departamento · 91m² · 3 Dormitorios · 1 Estacionamiento
149540619,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-149540619?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=16,2026-04-22,lince,urbania,878540,260000.0,878540260000.0,111,3,2,2.0,Jr. Mama Ocllo,Lima,Lince,1,Departamento · 111m² · 3 Dormitorios · 2 Estacionamientos
148546734,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-148546734?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=17,2026-04-22,lince,urbania,970000,289552.0,970000289552.0,91,3,2,,Jr. Coronel Joaquín Bernal 708 - Dpto 501,Lima,Lince,1,Departamento · 91m² · 3 Dormitorios
148883941,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-risso-lince-3-dormitorios-148883941?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=18,2026-04-22,lince,urbania,1021750,305000.0,,150,3,3,1.0,Manuel Villavicencio 825,Lince,Risso,1,Departamento · 150m² · 3 Dormitorios · 1 Estacionamiento
149168961,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-risso-lince-2-dormitorios-149168961?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=19,2026-04-22,lince,urbania,522000,155000.0,522000155000.0,110,2,1,,Calle Carlos Alayza Y Roel  al  2100,Lince,Risso,1,Departamento · 110m² · 2 Dormitorios
59135902,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-1-dormitorio-59135902?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=20,2026-04-22,lince,urbania,401545,98868.0,40154598868.0,58,1,1,2.0,Av. Juan Pardo de Zela N° al 570  ( Dpto 201) – Lince,Lima,Lince,1,Departamento · 58m² · 1 Dormitorio · 2 Estacionamientos
148907959,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-148907959?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,2026-04-22,lince,urbania,754883,225000.0,754883225000.0,117,3,3,1.0,Av Cesar Vallejo 1403,Lima,Lince,1,Departamento · 117m² · 3 Dormitorios · 1 Estacionamiento
149049610,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-149049610?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=22,2026-04-22,lince,urbania,499000,149000.0,499000149000.0,71,3,2,,Av. Prol. Iquitos 2230,Lima,Lince,1,Departamento · 71m² · 3 Dormitorios
149519320,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-2-dormitorios-149519320?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=23,2026-04-22,lince,urbania,330250,98000.0,33025098000.0,56,2,2,,Av. Arequipa 1492,Lima,Lince,1,Departamento · 56m² · 2 Dormitorios
149014605,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-149014605?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=24,2026-04-22,lince,urbania,498114,148000.0,498114148000.0,108,3,1,,Av. Julio César Tello,Lima,Lince,1,Departamento · 108m² · 3 Dormitorios
149604274,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-149604274?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=25,2026-04-22,lince,urbania,583100,170000.0,,106,3,2,,Jr. Joaquin Bernal al 100,Lima,Lince,1,Departamento · 106m² · 3 Dormitorios
149003496,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-149003496?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=26,2026-04-22,lince,urbania,486852,139900.0,,80,3,2,,Alberto Alexander  al 2200,Lima,Lince,1,Departamento · 80m² · 3 Dormitorios
148658261,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-148658261?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=27,2026-04-22,lince,urbania,509760,144000.0,509760144000.0,84,3,2,,Av. Jose Leal 1470 Lince,Lima,Lince,1,Departamento · 84m² · 3 Dormitorios
149303740,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-2-dormitorios-149303740?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=28,2026-04-22,lince,urbania,357000,105000.0,357000105000.0,52,2,2,,"Jr. Belisario Flores - Limite Jesus Maria, A UN Paso DE UPC Y Hosp. Rebagliati - Vista Panoramica",Lima,Lince,1,Departamento · 52m² · 2 Dormitorios
148896116,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-148896116?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=29,2026-04-22,lince,urbania,945000,270000.0,,105,3,3,,Calle Mariscal Juan Miller 2543,Lima,Lince,1,Departamento · 105m² · 3 Dormitorios
148896348,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-2-dormitorios-148896348?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=30,2026-04-22,lince,urbania,515000,148843.0,,65,2,2,,"Av César Vallejo al 1400 | 2 Dormitorios, gas Natural, Límite con San Isidro",Lima,Lince,1,Departamento · 61m² · 2 Dormitorios
