listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149567869,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-udima-magdalena-3-dormitorios-149567869?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-04-22,magdalena-del-mar,urbania,358280,106000.0,358280106000.0,68,3,2.0,,Jr. Tacna,Magdalena,Udima,1,Departamento · 68m² · 3 Dormitorios
148633265,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-148633265?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=9,2026-04-22,magdalena-del-mar,urbania,870240,259000.0,870240259000.0,173,3,3.0,1.0,Avenida Javier Prado Oeste  al 900,Lima,Magdalena,1,Departamento · 173m² · 3 Dormitorios · 1 Estacionamiento
149282826,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149282826?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=10,2026-04-22,magdalena-del-mar,urbania,800000,235000.0,800000235000.0,84,3,2.0,1.0,Av. Salaverry  3500. San Isidro,Lima,Magdalena,1,Departamento · 84m² · 3 Dormitorios · 1 Estacionamiento
148186817,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-148186817?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=11,2026-04-22,magdalena-del-mar,urbania,455273,,455273.0,57,2,2.0,,FAUSTINO,Lima,Magdalena,1,Departamento · 57m² · 2 Dormitorios
148566635,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-148566635?n_src=Listado&n_pg=1&n_pos=12,2026-04-22,magdalena-del-mar,urbania,392000,112000.0,,66,3,2.0,,Miraflores 170,Lima,Magdalena,1,Departamento · 66m² · 3 Dormitorios
149099774,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149099774?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,2026-04-22,magdalena-del-mar,urbania,1105500,330000.0,1105500330000.0,177,3,3.0,2.0,Malecón Bernales,Lima,Magdalena,1,Departamento · 137m² · 3 Dormitorios · 2 Estacionamientos
149351259,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149351259?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-04-22,magdalena-del-mar,urbania,715000,212000.0,715000212000.0,106,3,3.0,1.0,Hermilio Valdizan,Lima,Magdalena,1,Departamento · 106m² · 3 Dormitorios · 1 Estacionamiento
149000296,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149000296?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=15,2026-04-22,magdalena-del-mar,urbania,741200,218000.0,741200218000.0,113,3,2.0,1.0,Javier Prado Oeste  al 2300,Lima,Magdalena,1,Departamento · 113m² · 3 Dormitorios · 1 Estacionamiento
149081120,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-149081120?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=16,2026-04-22,magdalena-del-mar,urbania,526600,157194.0,526600157194.0,55,2,1.0,1.0,Av. Pershing - Departamento en Venta - A 5 Minutos de la Javier Prado,Lima,Magdalena,1,Departamento · 55m² · 2 Dormitorios · 1 Estacionamiento
148189177,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-148189177?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=17,2026-04-22,magdalena-del-mar,urbania,639000,189000.0,639000189000.0,95,3,3.0,1.0,Calle Baca Flor 146,Lima,Magdalena,1,Departamento · 95m² · 3 Dormitorios · 1 Estacionamiento
148603258,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-148603258?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=18,2026-04-22,magdalena-del-mar,urbania,1379148,395000.0,1379148395000.0,163,3,3.0,2.0,Av. Juan de Aliaga 277,Lima,Magdalena,1,Departamento · 213m² · 3 Dormitorios · 2 Estacionamientos
147856874,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-147856874?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,2026-04-22,magdalena-del-mar,urbania,1313500,355000.0,1313500355000.0,150,3,,2.0,Malecon Bernales 195,Lima,Magdalena,1,Departamento · 150m² · 3 Dormitorios · 2 Estacionamientos
149540957,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-149540957?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=20,2026-04-22,magdalena-del-mar,urbania,560850,150000.0,560850150000.0,87,2,2.0,2.0,Avenida Juan de Aliaga 452,Lima,Magdalena,1,Departamento · 87m² · 2 Dormitorios · 2 Estacionamientos
149408149,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149408149?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=21,2026-04-22,magdalena-del-mar,urbania,827640,242000.0,827640242000.0,152,3,2.0,1.0,Av. Juan de Aliaga  al 600,Lima,Magdalena,1,Departamento · 152m² · 3 Dormitorios · 1 Estacionamiento
149510044,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-4-dormitorios-149510044?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=22,2026-04-22,magdalena-del-mar,urbania,690000,,,143,4,3.0,1.0,Jirón Tarapacá 650,Lima,Magdalena,1,Departamento · 143m² · 4 Dormitorios · 1 Estacionamiento
149561358,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-149561358?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=23,2026-04-22,magdalena-del-mar,urbania,946200,271900.0,946200271900.0,134,3,2.0,2.0,Malecón Bernales al 100 Frente al Parque Domingo Pantigoso y a 1 Cuadra del Parque de la Pera,Lima,Magdalena,1,Departamento · 134m² · 3 Dormitorios · 2 Estacionamientos
