listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
148744574,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-148744574?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7,2026-04-22,pueblo-libre,urbania,342000.0,100000.0,342000100000.0,50.0,2,2.0,,Av. Del Río 257 - Dpto 302,Lima,Pueblo Libre,1,Departamento · 50m² · 2 Dormitorios
148946514,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-148946514?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8,2026-04-22,pueblo-libre,urbania,680000.0,198000.0,,104.0,3,2.0,1.0,Parque San Martin  al 300,Lima,Pueblo Libre,1,Departamento · 104m² · 3 Dormitorios · 1 Estacionamiento
149517795,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-149517795?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=9,2026-04-22,pueblo-libre,urbania,495000.0,146000.0,495000146000.0,77.0,3,2.0,1.0,Av. Brasil 1636,Lima,Pueblo Libre,1,Departamento · 77m² · 3 Dormitorios · 1 Estacionamiento
149589932,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-149589932?n_src=Listado&n_pg=1&n_pos=10,2026-04-22,pueblo-libre,urbania,330000.0,97058.0,,56.0,2,2.0,1.0,Jirón Torres Malarín Cuadra 5,Lima,Pueblo Libre,1,Departamento · 56m² · 2 Dormitorios · 1 Estacionamiento
149561087,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-149561087?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=11,2026-04-22,pueblo-libre,urbania,516000.0,149990.0,516000149990.0,81.0,3,2.0,1.0,Jirón Cabo Nicolás Gutarra 954,Lima,Pueblo Libre,1,Departamento · 81m² · 3 Dormitorios · 1 Estacionamiento
147260186,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-147260186?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=12,2026-04-22,pueblo-libre,urbania,520000.0,154978.0,520000154978.0,85.0,3,2.0,,Parque Enrique Leon Garcia,Lima,Pueblo Libre,1,Departamento · 84m² · 3 Dormitorios
149562770,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-149562770?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=13,2026-04-22,pueblo-libre,urbania,409500.0,,,58.0,2,2.0,,Jiron Clovis 620,Lima,Pueblo Libre,1,Departamento · 58m² · 2 Dormitorios
148875141,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-5-a-mas-dormitorios-148875141?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-04-22,pueblo-libre,urbania,,,,114.0,5,3.0,,Av. Colombia,Lima,Pueblo Libre,1,Departamento · 114m² · 5 Dormitorios
148086466,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-148086466?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-04-22,pueblo-libre,urbania,656750.0,185000.0,656750185000.0,132.0,3,1.0,1.0,Calle los Cabo Nicolas Gutarra,Lima,Pueblo Libre,1,Departamento · 132m² · 3 Dormitorios · 1 Estacionamiento
148537085,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-148537085?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=16,2026-04-22,pueblo-libre,urbania,370000.0,110119.0,,76.0,3,3.0,,AV Colonial  al 2700,Lima,Pueblo Libre,1,Departamento · 76m² · 3 Dormitorios
143503485,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-los-jardines-de-la-catolica-pueblo-libre-3-dormitorios-143503485?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=17,2026-04-22,pueblo-libre,urbania,506000.0,142000.0,506000142000.0,100.0,3,2.0,,AV.UNIVERSITARIA CERCA U.CATÓLICA Y UNMSM 1ER.PISO 100M2 3DORM. PATIO,Pueblo Libre,Los Jardines De La Catolica,1,Departamento · 100m² · 3 Dormitorios
145081436,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-1-dormitorio-145081436?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,2026-04-22,pueblo-libre,urbania,277500.0,75000.0,,45.0,1,1.0,,C. Manuel de Guirior,Lima,Pueblo Libre,1,Departamento · 45m² · 1 Dormitorio
147947180,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-147947180?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=19,2026-04-22,pueblo-libre,urbania,479000.0,139000.0,479000139000.0,68.0,3,1.0,,Av. Del Río 257 - Dpto 303,Lima,Pueblo Libre,1,Departamento · 68m² · 3 Dormitorios
149177032,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-149177032?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=20,2026-04-22,pueblo-libre,urbania,505163.0,149900.0,,100.0,3,2.0,1.0,Calle Olavegoya  al 100,Lima,Pueblo Libre,1,Departamento · 100m² · 3 Dormitorios · 1 Estacionamiento
149560858,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-149560858?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,2026-04-22,pueblo-libre,urbania,502500.0,150000.0,,139.0,2,2.0,,Diego de Medina 180,Lima,Pueblo Libre,1,Departamento · 119m² · 2 Dormitorios
149506663,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-149506663?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=22,2026-04-22,pueblo-libre,urbania,471463.0,139900.0,,88.0,3,2.0,,RIO Moche Cuadra 2,Lima,Pueblo Libre,1,Departamento · 88m² · 3 Dormitorios
148968390,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-1-dormitorio-148968390?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=23,2026-04-22,pueblo-libre,urbania,255000.0,74000.0,25500074000.0,34.0,1,1.0,,Av. Del Río 257 - Dpto 1403,Lima,Pueblo Libre,1,Departamento · 34m² · 1 Dormitorio
148227789,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-1-dormitorio-148227789?n_src=Listado&n_pg=1&n_pos=24,2026-04-22,pueblo-libre,urbania,195000.0,52000.0,,27.0,1,1.0,,Jr. Pedro Torres de Malarin Cuadra 5,Lima,Pueblo Libre,1,Departamento · 27m² · 1 Dormitorio
147942204,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-147942204?n_src=Listado&n_pg=1&n_pos=25,2026-04-22,pueblo-libre,urbania,368500.0,110000.0,,97.0,3,,,Avenida Mariano H Cornejo  al 1200,Lima,Pueblo Libre,1,Departamento · 97m² · 3 Dormitorios
