listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
148627200,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-corpac-san-borja-3-dormitorios-148627200?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=5,2026-04-22,san-borja,urbania,1038000,310000,1038000310000.0,130,3,4,1.0,Av.  Del Parque Sur al 500,San Borja,Corpac,1,Departamento · 130m² · 3 Dormitorios · 1 Estacionamiento
149589354,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-juan-masias-san-borja-2-dormitorios-149589354?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=6,2026-04-22,san-borja,urbania,306160,89000,30616089000.0,54,2,1,,Calle de la Técnica 280,San Borja,San Juan Masias,1,Departamento · 54m² · 2 Dormitorios
148950993,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-san-borja-4-dormitorios-148950993?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7,2026-04-22,san-borja,urbania,2046000,600000,2046000600000.0,426,4,3,3.0,Los Recuerdos 411,San Borja,Chacarilla Del Estanque,1,Departamento · 343m² · 4 Dormitorios · 3 Estacionamientos
149020374,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-149020374?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=8,2026-04-22,san-borja,urbania,612500,175000,612500175000.0,98,3,2,1.0,Avenida San Borja Norte,Lima,San Borja,1,Departamento · 94m² · 3 Dormitorios · 1 Estacionamiento
149536815,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-sur-san-borja-2-dormitorios-149536815?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=9,2026-04-22,san-borja,urbania,798500,234000,798500234000.0,128,2,2,1.0,Copernico al 100,San Borja,San Borja Sur,1,Departamento · 90m² · 2 Dormitorios · 1 Estacionamiento
148314771,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-san-borja-3-dormitorios-148314771?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=10,2026-04-22,san-borja,urbania,1423230,409000,1423230409000.0,217,3,3,4.0,chacarilla,San Borja,Chacarilla,1,Departamento · 217m² · 3 Dormitorios · 4 Estacionamientos
149559152,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-corpac-san-borja-3-dormitorios-149559152?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=11,2026-04-22,san-borja,urbania,1093050,315000,1093050315000.0,197,3,4,2.0,Pasaje Robert Boyle,San Borja,Corpac,1,Departamento · 197m² · 3 Dormitorios · 2 Estacionamientos
149430843,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-san-borja-3-dormitorios-149430843?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=12,2026-04-22,san-borja,urbania,1008000,288000,,214,3,4,4.0,"Calle Galeon, Chacarilla  al 100",San Borja,Chacarilla Del Estanque,1,Departamento · 214m² · 3 Dormitorios · 4 Estacionamientos
149549557,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-149549557?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=13,2026-04-22,san-borja,urbania,908685,265000,908685265000.0,120,3,2,1.0,Dalton 169,Lima,San Borja,1,Departamento · 120m² · 3 Dormitorios · 1 Estacionamiento
149456465,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-corpac-san-borja-3-dormitorios-149456465?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=14,2026-04-22,san-borja,urbania,835250,250000,835250250000.0,112,3,2,1.0,Jr. Pietro Torrigiano 400 - a 2 Cuadras de Parque de la Familia y Ebony,San Borja,Corpac,1,Departamento · 112m² · 3 Dormitorios · 1 Estacionamiento
148219435,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-1-dormitorio-148219435?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=15,2026-04-22,san-borja,urbania,415400,118000,415400118000.0,64,1,1,1.0,"Velasco Astete 312, San Borja",Lima,San Borja,1,Departamento · 64m² · 1 Dormitorio · 1 Estacionamiento
148548434,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-san-borja-3-dormitorios-148548434?n_src=Listado&n_pg=1&n_pos=16,2026-04-22,san-borja,urbania,1197000,350000,1197000350000.0,235,3,3,4.0,Avenida Esmeralda al 300,San Borja,Chacarilla,1,Departamento · 156m² · 3 Dormitorios · 4 Estacionamientos
148073281,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-148073281?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=17,2026-04-22,san-borja,urbania,599400,180000,599400180000.0,117,3,2,1.0,Portinari al 100,Lima,San Borja,1,Departamento · 117m² · 3 Dormitorios · 1 Estacionamiento
148450683,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-2-dormitorios-148450683?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=18,2026-04-22,san-borja,urbania,560000,160000,,101,2,1,,AV AVIACION CUADRA 33,Lima,San Borja,1,Departamento · 102m² · 2 Dormitorios
