listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,district,urbanization,photos_count,json_name
149313132,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-149313132?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=13,2026-04-22,surquillo,urbania,481000,127000.0,,59,2,2,,Surquillo,Lima,Surquillo,1,Departamento · 59m² · 2 Dormitorios
149356944,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-149356944?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=14,2026-04-22,surquillo,urbania,479500,137000.0,,70,2,2,1.0,Julián Sandoval 135,Lima,Surquillo,1,Departamento · 55m² · 2 Dormitorios · 1 Estacionamiento
148690274,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-capebco-surquillo-3-dormitorios-148690274?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=15,2026-04-22,surquillo,urbania,804000,238000.0,804000238000.0,108,3,2,,Av. Valles del Sur,Surquillo,Capebco,1,Departamento · 108m² · 3 Dormitorios
148469491,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-148469491?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=16,2026-04-22,surquillo,urbania,429220,127365.0,,72,2,2,,Marco Polo,Lima,Surquillo,1,Departamento · 72m² · 2 Dormitorios
149266687,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-aurora-este-surquillo-3-dormitorios-149266687?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=17,2026-04-22,surquillo,urbania,588000,173200.0,,82,3,2,1.0,Av. Tomás Marsano,Surquillo,Aurora Este,1,Departamento · 82m² · 3 Dormitorios · 1 Estacionamiento
147271715,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-147271715?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=18,2026-04-22,surquillo,urbania,444000,,444000.0,62,2,2,1.0,Tomas Marsano al 2100,Lima,Surquillo,1,Departamento · 62m² · 2 Dormitorios · 1 Estacionamiento
149086214,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barrio-medico-surquillo-2-dormitorios-149086214?n_src=Listado&n_pg=1&n_pos=19,2026-04-22,surquillo,urbania,302400,90000.0,30240090000.0,64,2,2,,"Dpto. en Victor Mantilla, Barrio Médico, Surquillo",Surquillo,Barrio Medico,1,Departamento · 64m² · 2 Dormitorios
148673826,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-vipep-surquillo-3-dormitorios-148673826?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=20,2026-04-22,surquillo,urbania,696700,199000.0,696700199000.0,112,3,3,1.0,Holbein al 147,Surquillo,Vipep,1,Departamento · 112m² · 3 Dormitorios · 1 Estacionamiento
149603588,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-calera-de-la-merced-surquillo-2-dormitorios-149603588?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=21,2026-04-22,surquillo,urbania,476770,139000.0,476770139000.0,75,2,1,1.0,Calle Montesquieu 300,Surquillo,La Calera De La Merced,1,Departamento · 75m² · 2 Dormitorios · 1 Estacionamiento
149584815,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-149584815?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=22,2026-04-22,surquillo,urbania,444000,120000.0,444000120000.0,65,2,2,,"AV. Santiago DE Surco 2175 Tomas Marsano , Surquillo",Lima,Surquillo,1,Departamento · 65m² · 2 Dormitorios
149107405,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-calera-surquillo-2-dormitorios-149107405?n_src=Listado&n_pg=1&n_pos=23,2026-04-22,surquillo,urbania,525000,,525000.0,78,2,2,,"Calle Rodin, La Calera, Surquillo.",Surquillo,La Calera,1,Departamento · 78m² · 2 Dormitorios
149241267,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-149241267?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,2026-04-22,surquillo,urbania,380000,,380000.0,52,2,2,,Av Tomas Marsano,Lima,Surquillo,1,Departamento · 52m² · 2 Dormitorios
147791854,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-limatambo-surquillo-1-dormitorio-147791854?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=25,2026-04-22,surquillo,urbania,471800,140000.0,471800140000.0,81,1,1,1.0,Calle Los Negocios 495,Surquillo,Limatambo,1,Departamento · 51m² · 1 Dormitorio · 1 Estacionamiento
